sep=;
time;model_id;model_name;port_name;data
0;1;r7_c1;;<0>
0;2;r7_c0;;<0>
0;3;r6_c7;;<0>
0;4;r6_c2;;<0>
0;5;r0_c7;;<0>
0;6;r3_c0;;<0>
0;7;r5_c7;;<0>
0;8;r1_c0;;<0>
0;9;r6_c3;;<0>
0;10;r1_c1;;<0>
0;11;r1_c4;;<0>
0;12;r1_c7;;<0>
0;13;r2_c5;;<0>
0;14;r0_c1;;<0>
0;15;r1_c5;;<0>
0;16;r4_c5;;<1>
0;17;r5_c6;;<0>
0;18;r3_c4;;<1>
0;19;r4_c3;;<1>
0;20;r2_c1;;<0>
0;21;r2_c0;;<0>
0;22;r5_c3;;<0>
0;23;r3_c3;;<1>
0;24;r0_c5;;<0>
0;25;r2_c2;;<0>
0;26;r0_c3;;<0>
0;27;r7_c6;;<0>
0;28;r7_c3;;<0>
0;29;r7_c5;;<0>
0;30;r3_c6;;<0>
0;31;r2_c4;;<0>
0;32;r7_c2;;<0>
0;33;r4_c0;;<0>
0;34;r3_c1;;<0>
0;35;r7_c4;;<0>
0;36;r0_c2;;<0>
0;37;r4_c7;;<0>
0;38;r0_c0;;<0>
0;39;r1_c3;;<0>
0;40;r2_c3;;<0>
0;41;r6_c6;;<0>
0;42;r5_c4;;<1>
0;43;r2_c6;;<0>
0;44;r6_c5;;<0>
0;45;r5_c1;;<0>
0;46;r7_c7;;<0>
0;47;r1_c2;;<0>
0;48;r5_c0;;<0>
0;49;r3_c5;;<1>
0;50;r3_c2;;<0>
0;51;r3_c7;;<0>
0;52;r0_c6;;<0>
0;53;r4_c2;;<0>
0;54;r4_c1;;<0>
0;55;r0_c4;;<0>
0;56;r4_c4;;<1>
0;57;r5_c5;;<0>
0;58;r1_c6;;<0>
0;59;r4_c6;;<0>
0;60;r6_c4;;<0>
0;61;r5_c2;;<0>
0;62;r6_c0;;<0>
0;63;r2_c7;;<0>
0;64;r6_c1;;<0>
0;1;r7_c1;outputNeighborhood;<0>
0;1;r7_c1;;<0>
0;2;r7_c0;outputNeighborhood;<0>
0;2;r7_c0;;<0>
0;3;r6_c7;outputNeighborhood;<0>
0;3;r6_c7;;<0>
0;4;r6_c2;outputNeighborhood;<0>
0;4;r6_c2;;<1>
0;5;r0_c7;outputNeighborhood;<0>
0;5;r0_c7;;<0>
0;6;r3_c0;outputNeighborhood;<0>
0;6;r3_c0;;<0>
0;7;r5_c7;outputNeighborhood;<0>
0;7;r5_c7;;<1>
0;8;r1_c0;outputNeighborhood;<0>
0;8;r1_c0;;<0>
0;9;r6_c3;outputNeighborhood;<0>
0;9;r6_c3;;<1>
0;10;r1_c1;outputNeighborhood;<0>
0;10;r1_c1;;<0>
0;11;r1_c4;outputNeighborhood;<0>
0;11;r1_c4;;<1>
0;12;r1_c7;outputNeighborhood;<0>
0;12;r1_c7;;<0>
0;13;r2_c5;outputNeighborhood;<0>
0;13;r2_c5;;<1>
0;14;r0_c1;outputNeighborhood;<0>
0;14;r0_c1;;<0>
0;15;r1_c5;outputNeighborhood;<0>
0;15;r1_c5;;<1>
0;16;r4_c5;outputNeighborhood;<1>
0;16;r4_c5;;<0>
0;17;r5_c6;outputNeighborhood;<0>
0;17;r5_c6;;<1>
0;18;r3_c4;outputNeighborhood;<1>
0;18;r3_c4;;<0>
0;19;r4_c3;outputNeighborhood;<1>
0;19;r4_c3;;<0>
0;20;r2_c1;outputNeighborhood;<0>
0;20;r2_c1;;<1>
0;21;r2_c0;outputNeighborhood;<0>
0;21;r2_c0;;<0>
0;22;r5_c3;outputNeighborhood;<0>
0;22;r5_c3;;<1>
0;23;r3_c3;outputNeighborhood;<1>
0;23;r3_c3;;<1>
0;24;r0_c5;outputNeighborhood;<0>
0;24;r0_c5;;<0>
0;25;r2_c2;outputNeighborhood;<0>
0;25;r2_c2;;<1>
0;26;r0_c3;outputNeighborhood;<0>
0;26;r0_c3;;<0>
0;27;r7_c6;outputNeighborhood;<0>
0;27;r7_c6;;<0>
0;28;r7_c3;outputNeighborhood;<0>
0;28;r7_c3;;<1>
0;29;r7_c5;outputNeighborhood;<0>
0;29;r7_c5;;<1>
0;30;r3_c6;outputNeighborhood;<0>
0;30;r3_c6;;<1>
0;31;r2_c4;outputNeighborhood;<0>
0;31;r2_c4;;<1>
0;32;r7_c2;outputNeighborhood;<0>
0;32;r7_c2;;<0>
0;33;r4_c0;outputNeighborhood;<0>
0;33;r4_c0;;<0>
0;34;r3_c1;outputNeighborhood;<0>
0;34;r3_c1;;<1>
0;35;r7_c4;outputNeighborhood;<0>
0;35;r7_c4;;<0>
0;36;r0_c2;outputNeighborhood;<0>
0;36;r0_c2;;<0>
0;37;r4_c7;outputNeighborhood;<0>
0;37;r4_c7;;<1>
0;38;r0_c0;outputNeighborhood;<0>
0;38;r0_c0;;<0>
0;39;r1_c3;outputNeighborhood;<0>
0;39;r1_c3;;<1>
0;40;r2_c3;outputNeighborhood;<0>
0;40;r2_c3;;<1>
0;41;r6_c6;outputNeighborhood;<0>
0;41;r6_c6;;<1>
0;42;r5_c4;outputNeighborhood;<1>
0;42;r5_c4;;<1>
0;43;r2_c6;outputNeighborhood;<0>
0;43;r2_c6;;<1>
