sep=;
time;model_id;model_name;port_name;data
0;1;(6,6);;<0>
0;2;(2,6);;<0>
0;3;(5,5);;<0>
0;4;(2,5);;<0>
0;5;(1,5);;<0>
0;6;(0,5);;<0>
0;7;(6,4);;<0>
0;8;(5,4);;<0>
0;9;(4,5);;<0>
0;10;(4,4);;<0>
0;11;(0,4);;<0>
0;12;(1,4);;<0>
0;13;(0,1);;<0>
0;14;(6,0);;<0>
0;15;(3,6);;<0>
0;16;(3,0);;<0>
0;17;(2,0);;<0>
0;18;(1,0);;<0>
0;19;(3,5);;<0>
0;20;(6,2);;<0>
0;21;(0,0);;<0>
0;22;(4,3);;<1>
0;23;(3,4);;<1>
0;24;(5,0);;<0>
0;25;(1,6);;<0>
0;26;(2,4);;<0>
0;27;(4,1);;<0>
0;28;(4,0);;<0>
0;29;(3,2);;<1>
0;30;(2,3);;<1>
0;31;(1,2);;<0>
0;32;(1,1);;<0>
0;33;(4,6);;<0>
0;34;(3,3);;<1>
0;35;(2,1);;<0>
0;36;(3,1);;<0>
0;37;(0,6);;<0>
0;38;(5,1);;<0>
0;39;(6,1);;<0>
0;40;(0,2);;<0>
0;41;(5,2);;<0>
0;42;(2,2);;<0>
0;43;(4,2);;<0>
0;44;(0,3);;<0>
0;45;(5,6);;<0>
0;46;(6,5);;<0>
0;47;(1,3);;<0>
0;48;(5,3);;<0>
0;49;(6,3);;<0>
0;1;(6,6);outputNeighborhood;<0>
0;1;(6,6);;<0>
0;2;(2,6);outputNeighborhood;<0>
0;2;(2,6);;<0>
0;3;(5,5);outputNeighborhood;<0>
0;3;(5,5);;<0>
0;4;(2,5);outputNeighborhood;<0>
0;4;(2,5);;<0>
0;5;(1,5);outputNeighborhood;<0>
0;5;(1,5);;<0>
0;6;(0,5);outputNeighborhood;<0>
0;6;(0,5);;<0>
0;7;(6,4);outputNeighborhood;<0>
0;7;(6,4);;<0>
0;8;(5,4);outputNeighborhood;<0>
0;8;(5,4);;<0>
0;9;(4,5);outputNeighborhood;<0>
0;9;(4,5);;<0>
0;10;(4,4);outputNeighborhood;<0>
0;10;(4,4);;<1>
0;11;(0,4);outputNeighborhood;<0>
0;11;(0,4);;<0>
0;12;(1,4);outputNeighborhood;<0>
0;12;(1,4);;<0>
0;13;(0,1);outputNeighborhood;<0>
0;13;(0,1);;<0>
0;14;(6,0);outputNeighborhood;<0>
0;14;(6,0);;<0>
0;15;(3,6);outputNeighborhood;<0>
0;15;(3,6);;<0>
0;16;(3,0);outputNeighborhood;<0>
0;16;(3,0);;<0>
0;17;(2,0);outputNeighborhood;<0>
0;17;(2,0);;<0>
0;18;(1,0);outputNeighborhood;<0>
0;18;(1,0);;<0>
0;19;(3,5);outputNeighborhood;<0>
0;19;(3,5);;<0>
0;20;(6,2);outputNeighborhood;<0>
0;20;(6,2);;<0>
0;21;(0,0);outputNeighborhood;<0>
0;21;(0,0);;<0>
0;22;(4,3);outputNeighborhood;<1>
0;22;(4,3);;<1>
0;23;(3,4);outputNeighborhood;<1>
0;23;(3,4);;<1>
0;24;(5,0);outputNeighborhood;<0>
0;24;(5,0);;<0>
0;25;(1,6);outputNeighborhood;<0>
0;25;(1,6);;<0>
0;26;(2,4);outputNeighborhood;<0>
0;26;(2,4);;<1>
0;27;(4,1);outputNeighborhood;<0>
0;27;(4,1);;<0>
0;28;(4,0);outputNeighborhood;<0>
0;28;(4,0);;<0>
0;29;(3,2);outputNeighborhood;<1>
0;29;(3,2);;<1>
0;30;(2,3);outputNeighborhood;<1>
0;30;(2,3);;<1>
0;31;(1,2);outputNeighborhood;<0>
0;31;(1,2);;<0>
0;32;(1,1);outputNeighborhood;<0>
0;32;(1,1);;<0>
0;33;(4,6);outputNeighborhood;<0>
0;33;(4,6);;<0>
0;34;(3,3);outputNeighborhood;<1>
0;34;(3,3);;<0>
0;35;(2,1);outputNeighborhood;<0>
0;35;(2,1);;<0>
0;36;(3,1);outputNeighborhood;<0>
0;36;(3,1);;<0>
0;37;(0,6);outputNeighborhood;<0>
0;37;(0,6);;<0>
0;38;(5,1);outputNeighborhood;<0>
0;38;(5,1);;<0>
0;39;(6,1);outputNeighborhood;<0>
0;39;(6,1);;<0>
0;40;(0,2);outputNeighborhood;<0>
0;40;(0,2);;<0>
0;41;(5,2);outputNeighborhood;<0>
0;41;(5,2);;<0>
0;42;(2,2);outputNeighborhood;<0>
0;42;(2,2);;<1>
0;43;(4,2);outputNeighborhood;<0>
0;43;(4,2);;<1>
0;44;(0,3);outputNeighborhood;<0>
0;44;(0,3);;<0>
0;45;(5,6);outputNeighborhood;<0>
0;45;(5,6);;<0>
0;46;(6,5);outputNeighborhood;<0>
0;46;(6,5);;<0>
0;47;(1,3);outputNeighborhood;<0>
0;47;(1,3);;<0>
0;48;(5,3);outputNeighborhood;<0>
0;48;(5,3);;<0>
0;49;(6,3);outputNeighborhood;<0>
0;49;(6,3);;<0>
1;3;(5,5);;<0>
1;4;(2,5);;<1>
1;5;(1,5);;<0>
1;8;(5,4);;<1>
1;9;(4,5);;<1>
1;10;(4,4);outputNeighborhood;<1>
1;10;(4,4);;<1>
1;12;(1,4);;<1>
1;19;(3,5);;<1>
1;22;(4,3);;<0>
1;23;(3,4);;<0>
1;26;(2,4);outputNeighborhood;<1>
1;26;(2,4);;<1>
1;27;(4,1);;<1>
1;29;(3,2);;<0>
1;30;(2,3);;<0>
1;31;(1,2);;<1>
1;32;(1,1);;<0>
1;34;(3,3);outputNeighborhood;<0>
1;34;(3,3);;<0>
1;35;(2,1);;<1>
1;36;(3,1);;<1>
1;38;(5,1);;<0>
1;41;(5,2);;<1>
1;42;(2,2);outputNeighborhood;<1>
1;42;(2,2);;<1>
1;43;(4,2);outputNeighborhood;<1>
1;43;(4,2);;<1>
1;47;(1,3);;<1>
1;48;(5,3);;<1>
2;2;(2,6);;<1>
2;3;(5,5);;<1>
2;4;(2,5);outputNeighborhood;<1>
2;4;(2,5);;<1>
2;5;(1,5);;<1>
2;6;(0,5);;<0>
2;7;(6,4);;<1>
2;8;(5,4);outputNeighborhood;<1>
2;8;(5,4);;<1>
2;9;(4,5);outputNeighborhood;<1>
2;9;(4,5);;<1>
2;10;(4,4);;<0>
2;11;(0,4);;<1>
2;12;(1,4);outputNeighborhood;<1>
2;12;(1,4);;<1>
2;13;(0,1);;<0>
2;15;(3,6);;<1>
2;16;(3,0);;<1>
2;17;(2,0);;<1>
2;18;(1,0);;<0>
2;19;(3,5);outputNeighborhood;<1>
2;19;(3,5);;<0>
2;20;(6,2);;<1>
2;22;(4,3);outputNeighborhood;<0>
2;22;(4,3);;<0>
2;23;(3,4);outputNeighborhood;<0>
2;23;(3,4);;<0>
2;24;(5,0);;<0>
2;25;(1,6);;<0>
2;26;(2,4);;<0>
2;27;(4,1);outputNeighborhood;<1>
2;27;(4,1);;<1>
2;28;(4,0);;<1>
2;29;(3,2);outputNeighborhood;<0>
2;29;(3,2);;<0>
2;30;(2,3);outputNeighborhood;<0>
2;30;(2,3);;<0>
2;31;(1,2);outputNeighborhood;<1>
2;31;(1,2);;<1>
2;32;(1,1);;<1>
2;33;(4,6);;<1>
2;34;(3,3);;<0>
2;35;(2,1);outputNeighborhood;<1>
2;35;(2,1);;<1>
2;36;(3,1);outputNeighborhood;<1>
2;36;(3,1);;<0>
2;38;(5,1);;<1>
2;39;(6,1);;<0>
2;40;(0,2);;<1>
