sep=;
time;model_id;model_name;port_name;data
0;1;(3,12);;<0>
0;2;(2,12);;<0>
0;3;(8,11);;<0>
0;4;(6,11);;<0>
0;5;(4,11);;<0>
0;6;(3,11);;<0>
0;7;(2,11);;<0>
0;8;(6,10);;<0>
0;9;(7,12);;<0>
0;10;(2,10);;<0>
0;11;(0,10);;<0>
0;12;(7,9);;<0>
0;13;(6,9);;<0>
0;14;(6,12);;<0>
0;15;(2,9);;<0>
0;16;(1,10);;<0>
0;17;(1,9);;<0>
0;18;(8,8);;<0>
0;19;(7,11);;<0>
0;20;(7,8);;<0>
0;21;(6,8);;<0>
0;22;(5,8);;<0>
0;23;(1,8);;<0>
0;24;(0,8);;<0>
0;25;(8,7);;<0>
0;26;(6,7);;<0>
0;27;(3,7);;<0>
0;28;(2,7);;<0>
0;29;(1,7);;<0>
0;30;(0,7);;<0>
0;31;(6,6);;<0>
0;32;(5,10);;<0>
0;33;(4,10);;<0>
0;34;(5,6);;<0>
0;35;(2,6);;<0>
0;36;(7,1);;<0>
0;37;(8,10);;<0>
0;38;(6,1);;<0>
0;39;(7,7);;<0>
0;40;(0,6);;<0>
0;41;(8,9);;<0>
0;42;(2,1);;<0>
0;43;(2,2);;<0>
0;44;(4,6);;<1>
0;45;(4,12);;<0>
0;46;(5,11);;<0>
0;47;(2,8);;<0>
0;48;(3,3);;<0>
0;49;(0,11);;<0>
0;50;(3,10);;<0>
0;51;(5,9);;<0>
0;52;(7,3);;<0>
0;53;(1,1);;<0>
0;54;(7,5);;<0>
0;55;(5,7);;<0>
0;56;(0,1);;<0>
0;57;(1,4);;<0>
0;58;(6,0);;<0>
0;59;(8,0);;<0>
0;60;(7,0);;<0>
0;61;(5,12);;<0>
0;62;(4,5);;<1>
0;63;(1,12);;<0>
0;64;(4,4);;<1>
0;65;(8,5);;<0>
0;66;(7,6);;<0>
0;67;(1,0);;<0>
0;68;(8,12);;<0>
0;69;(0,9);;<0>
0;70;(8,3);;<0>
0;71;(3,0);;<0>
0;72;(4,9);;<1>
0;73;(8,6);;<0>
0;74;(8,2);;<0>
0;75;(4,8);;<1>
0;76;(4,2);;<0>
0;77;(0,3);;<0>
0;78;(1,2);;<0>
0;79;(0,0);;<0>
0;80;(4,0);;<0>
0;81;(0,2);;<0>
0;82;(4,1);;<0>
0;83;(3,1);;<0>
0;84;(2,4);;<0>
0;85;(5,0);;<0>
0;86;(3,9);;<0>
0;87;(5,2);;<0>
0;88;(6,2);;<0>
0;89;(3,2);;<0>
0;90;(3,5);;<0>
0;91;(7,10);;<0>
0;92;(3,6);;<0>
0;93;(2,0);;<0>
0;94;(7,2);;<0>
0;95;(1,11);;<0>
0;96;(1,3);;<0>
0;97;(3,8);;<0>
0;98;(2,3);;<0>
0;99;(5,3);;<0>
0;100;(6,3);;<0>
0;101;(4,3);;<1>
0;102;(0,4);;<0>
0;103;(0,5);;<0>
0;104;(4,7);;<1>
0;105;(3,4);;<0>
0;106;(0,12);;<0>
0;107;(7,4);;<0>
0;108;(5,4);;<0>
0;109;(1,6);;<0>
0;110;(6,4);;<0>
0;111;(8,4);;<0>
0;112;(6,5);;<0>
0;113;(1,5);;<0>
0;114;(8,1);;<0>
0;115;(5,1);;<0>
0;116;(2,5);;<0>
0;117;(5,5);;<0>
0;1;(3,12);outputNeighborhood;<0>
0;1;(3,12);;<0>
0;2;(2,12);outputNeighborhood;<0>
0;2;(2,12);;<0>
0;3;(8,11);outputNeighborhood;<0>
0;3;(8,11);;<0>
0;4;(6,11);outputNeighborhood;<0>
0;4;(6,11);;<0>
0;5;(4,11);outputNeighborhood;<0>
0;5;(4,11);;<0>
0;6;(3,11);outputNeighborhood;<0>
0;6;(3,11);;<0>
0;7;(2,11);outputNeighborhood;<0>
0;7;(2,11);;<0>
0;8;(6,10);outputNeighborhood;<0>
0;8;(6,10);;<0>
0;9;(7,12);outputNeighborhood;<0>
0;9;(7,12);;<0>
0;10;(2,10);outputNeighborhood;<0>
0;10;(2,10);;<0>
0;11;(0,10);outputNeighborhood;<0>
0;11;(0,10);;<0>
0;12;(7,9);outputNeighborhood;<0>
0;12;(7,9);;<0>
0;13;(6,9);outputNeighborhood;<0>
0;13;(6,9);;<0>
0;14;(6,12);outputNeighborhood;<0>
0;14;(6,12);;<0>
0;15;(2,9);outputNeighborhood;<0>
0;15;(2,9);;<0>
0;16;(1,10);outputNeighborhood;<0>
0;16;(1,10);;<0>
0;17;(1,9);outputNeighborhood;<0>
0;17;(1,9);;<0>
0;18;(8,8);outputNeighborhood;<0>
0;18;(8,8);;<0>
0;19;(7,11);outputNeighborhood;<0>
0;19;(7,11);;<0>
0;20;(7,8);outputNeighborhood;<0>
0;20;(7,8);;<0>
0;21;(6,8);outputNeighborhood;<0>
0;21;(6,8);;<0>
0;22;(5,8);outputNeighborhood;<0>
0;22;(5,8);;<1>
0;23;(1,8);outputNeighborhood;<0>
0;23;(1,8);;<0>
0;24;(0,8);outputNeighborhood;<0>
0;24;(0,8);;<0>
0;25;(8,7);outputNeighborhood;<0>
0;25;(8,7);;<0>
0;26;(6,7);outputNeighborhood;<0>
0;26;(6,7);;<0>
0;27;(3,7);outputNeighborhood;<0>
0;27;(3,7);;<1>
0;28;(2,7);outputNeighborhood;<0>
0;28;(2,7);;<0>
0;29;(1,7);outputNeighborhood;<0>
0;29;(1,7);;<0>
0;30;(0,7);outputNeighborhood;<0>
0;30;(0,7);;<0>
0;31;(6,6);outputNeighborhood;<0>
0;31;(6,6);;<0>
0;32;(5,10);outputNeighborhood;<0>
0;32;(5,10);;<0>
0;33;(4,10);outputNeighborhood;<0>
0;33;(4,10);;<0>
0;34;(5,6);outputNeighborhood;<0>
0;34;(5,6);;<1>
0;35;(2,6);outputNeighborhood;<0>
0;35;(2,6);;<0>
0;36;(7,1);outputNeighborhood;<0>
0;36;(7,1);;<0>
0;37;(8,10);outputNeighborhood;<0>
0;37;(8,10);;<0>
0;38;(6,1);outputNeighborhood;<0>
0;38;(6,1);;<0>
0;39;(7,7);outputNeighborhood;<0>
0;39;(7,7);;<0>
0;40;(0,6);outputNeighborhood;<0>
0;40;(0,6);;<0>
0;41;(8,9);outputNeighborhood;<0>
0;41;(8,9);;<0>
0;42;(2,1);outputNeighborhood;<0>
0;42;(2,1);;<0>
0;43;(2,2);outputNeighborhood;<0>
0;43;(2,2);;<0>
0;44;(4,6);outputNeighborhood;<1>
0;44;(4,6);;<1>
