sep=;
time;model_id;model_name;port_name;data
0;1;(6,7);;<0,0,0,0,0>
0;2;(3,7);;<0,0,0,0,0>
0;3;(5,2);;<0,0,0,0,0>
0;4;(7,1);;<0,0,0,0,0>
0;5;(6,1);;<0,0,0,0,0>
0;6;(7,7);;<0,0,0,0,0>
0;7;(0,6);;<0,0,0,0,0>
0;8;(2,1);;<0,0,0,0,0>
0;9;(3,3);;<3,2,0,0,0>
0;10;(2,2);;<0,0,0,0,0>
0;11;(4,6);;<0,0,0,0,0>
0;12;(7,3);;<0,0,0,0,0>
0;13;(1,1);;<0,0,0,0,0>
0;14;(7,5);;<0,0,0,0,0>
0;15;(5,7);;<0,0,0,0,0>
0;16;(0,1);;<0,0,0,0,0>
0;17;(1,4);;<0,0,0,0,0>
0;18;(6,0);;<0,0,0,0,0>
0;19;(7,0);;<0,0,0,0,0>
0;20;(2,7);;<0,0,0,0,0>
0;21;(0,2);;<0,0,0,0,0>
0;22;(4,1);;<0,0,0,0,0>
0;23;(5,0);;<0,0,0,0,0>
0;24;(4,0);;<0,0,0,0,0>
0;25;(4,2);;<0,0,0,0,0>
0;26;(0,3);;<0,0,0,0,0>
0;27;(2,4);;<0,0,0,0,0>
0;28;(3,1);;<0,0,0,0,0>
0;29;(4,4);;<4,1,0,0,0>
0;30;(4,5);;<0,0,0,0,0>
0;31;(6,2);;<1,1,0,0,0>
0;32;(3,2);;<0,0,0,0,0>
0;33;(3,5);;<0,0,0,0,0>
0;34;(1,2);;<1,2,0,0,0>
0;35;(0,0);;<0,0,0,0,0>
0;36;(1,5);;<1,2,0,0,0>
0;37;(6,5);;<1,1,0,0,0>
0;38;(1,3);;<0,0,0,0,0>
0;39;(5,6);;<0,0,0,0,0>
0;40;(3,0);;<0,0,0,0,0>
0;41;(2,0);;<0,0,0,0,0>
0;42;(3,6);;<0,0,0,0,0>
0;43;(7,2);;<0,0,0,0,0>
0;44;(2,6);;<0,0,0,0,0>
0;45;(2,3);;<0,0,0,0,0>
0;46;(0,4);;<6,2,0,0,0>
0;47;(4,3);;<0,0,0,0,0>
0;48;(5,3);;<0,0,0,0,0>
0;49;(6,3);;<0,0,0,0,0>
0;50;(7,4);;<6,1,0,0,0>
0;51;(5,4);;<0,0,0,0,0>
0;52;(1,6);;<0,0,0,0,0>
0;53;(6,4);;<0,0,0,0,0>
0;54;(4,7);;<0,0,0,0,0>
0;55;(3,4);;<0,0,0,0,0>
0;56;(0,5);;<0,0,0,0,0>
0;57;(1,0);;<0,0,0,0,0>
0;58;(7,6);;<0,0,0,0,0>
0;59;(5,1);;<0,0,0,0,0>
0;60;(2,5);;<0,0,0,0,0>
0;61;(5,5);;<0,0,0,0,0>
0;62;(6,6);;<0,0,0,0,0>
0;63;(0,7);;<0,0,0,0,0>
0;64;(1,7);;<0,0,0,0,0>
0;1;(6,7);outputNeighborhood;<0,0,0,0,0>
0;1;(6,7);;<0,0,0,1.08333,-1.08333>
0;2;(3,7);outputNeighborhood;<0,0,0,0,0>
0;2;(3,7);;<0,0,0,1.08333,-1.08333>
0;3;(5,2);outputNeighborhood;<0,0,0,0,0>
0;3;(5,2);;<0,0,0,1.08333,-1.08333>
0;4;(7,1);outputNeighborhood;<0,0,0,0,0>
0;4;(7,1);;<0,0,0,1.08333,-1.08333>
0;5;(6,1);outputNeighborhood;<0,0,0,0,0>
0;5;(6,1);;<0,0,0,1.08333,-1.08333>
0;6;(7,7);outputNeighborhood;<0,0,0,0,0>
0;6;(7,7);;<0,0,0,1.08333,-1.08333>
0;7;(0,6);outputNeighborhood;<0,0,0,0,0>
0;7;(0,6);;<0,0,0,1.08333,-1.08333>
0;8;(2,1);outputNeighborhood;<0,0,0,0,0>
0;8;(2,1);;<0,0,0,1.08333,-1.08333>
0;9;(3,3);outputNeighborhood;<3,2,0,0,0>
0;9;(3,3);;<3,2,0,4.33333,-4.33333>
0;10;(2,2);outputNeighborhood;<0,0,0,0,0>
0;10;(2,2);;<0,0,0,1.08333,-1.08333>
0;11;(4,6);outputNeighborhood;<0,0,0,0,0>
0;11;(4,6);;<0,0,0,1.08333,-1.08333>
0;12;(7,3);outputNeighborhood;<0,0,0,0,0>
0;12;(7,3);;<0,0,0,1.08333,-1.08333>
0;13;(1,1);outputNeighborhood;<0,0,0,0,0>
0;13;(1,1);;<0,0,0,1.08333,-1.08333>
0;14;(7,5);outputNeighborhood;<0,0,0,0,0>
0;14;(7,5);;<0,0,0,1.08333,-1.08333>
0;15;(5,7);outputNeighborhood;<0,0,0,0,0>
0;15;(5,7);;<0,0,0,1.08333,-1.08333>
0;16;(0,1);outputNeighborhood;<0,0,0,0,0>
0;16;(0,1);;<0,0,0,1.08333,-1.08333>
0;17;(1,4);outputNeighborhood;<0,0,0,0,0>
0;17;(1,4);;<0,0,0,1.08333,-1.08333>
0;18;(6,0);outputNeighborhood;<0,0,0,0,0>
0;18;(6,0);;<0,0,0,1.08333,-1.08333>
0;19;(7,0);outputNeighborhood;<0,0,0,0,0>
0;19;(7,0);;<0,0,0,1.08333,-1.08333>
0;20;(2,7);outputNeighborhood;<0,0,0,0,0>
0;20;(2,7);;<0,0,0,1.08333,-1.08333>
0;21;(0,2);outputNeighborhood;<0,0,0,0,0>
0;21;(0,2);;<0,0,0,1.08333,-1.08333>
0;22;(4,1);outputNeighborhood;<0,0,0,0,0>
0;22;(4,1);;<0,0,0,1.08333,-1.08333>
0;23;(5,0);outputNeighborhood;<0,0,0,0,0>
0;23;(5,0);;<0,0,0,1.08333,-1.08333>
0;24;(4,0);outputNeighborhood;<0,0,0,0,0>
0;24;(4,0);;<0,0,0,1.08333,-1.08333>
0;25;(4,2);outputNeighborhood;<0,0,0,0,0>
0;25;(4,2);;<0,0,0,1.08333,-1.08333>
0;26;(0,3);outputNeighborhood;<0,0,0,0,0>
0;26;(0,3);;<0,0,0,1.08333,-1.08333>
0;27;(2,4);outputNeighborhood;<0,0,0,0,0>
0;27;(2,4);;<0,0,0,1.08333,-1.08333>
0;28;(3,1);outputNeighborhood;<0,0,0,0,0>
0;28;(3,1);;<0,0,0,1.08333,-1.08333>
0;29;(4,4);outputNeighborhood;<4,1,0,0,0>
0;29;(4,4);;<4,1,5,1.08333,3.91667>
0;30;(4,5);outputNeighborhood;<0,0,0,0,0>
0;30;(4,5);;<0,0,0,1.08333,-1.08333>
0;31;(6,2);outputNeighborhood;<1,1,0,0,0>
0;31;(6,2);;<1,1,1,1.08333,-0.0833333>
0;32;(3,2);outputNeighborhood;<0,0,0,0,0>
0;32;(3,2);;<0,0,0,1.08333,-1.08333>
0;33;(3,5);outputNeighborhood;<0,0,0,0,0>
0;33;(3,5);;<0,0,0,1.08333,-1.08333>
0;34;(1,2);outputNeighborhood;<1,2,0,0,0>
0;34;(1,2);;<1,2,0,2.08333,-2.08333>
0;35;(0,0);outputNeighborhood;<0,0,0,0,0>
0;35;(0,0);;<0,0,0,1.08333,-1.08333>
0;36;(1,5);outputNeighborhood;<1,2,0,0,0>
0;36;(1,5);;<1,2,0,2.08333,-2.08333>
0;37;(6,5);outputNeighborhood;<1,1,0,0,0>
0;37;(6,5);;<1,1,1,1.08333,-0.0833333>
