sep=;
time;model_id;model_name;port_name;data
0;1;(3,7);;<0,0,0,0,0>
0;2;(2,7);;<0,0,0,0,0>
0;3;(4,4);;<1,1,0,0,0>
0;4;(4,5);;<0,0,0,0,0>
0;5;(7,1);;<2,1,0,0,0>
0;6;(1,7);;<1,2,0,0,0>
0;7;(6,1);;<1,1,0,0,0>
0;8;(0,7);;<4,2,0,0,0>
0;9;(5,2);;<1,1,0,0,0>
0;10;(5,1);;<0,0,0,0,0>
0;11;(2,5);;<2,2,0,0,0>
0;12;(4,1);;<0,0,0,0,0>
0;13;(0,2);;<3,2,0,0,0>
0;14;(4,2);;<3,1,0,0,0>
0;15;(0,3);;<5,2,0,0,0>
0;16;(0,0);;<4,2,0,0,0>
0;17;(1,2);;<1,2,0,0,0>
0;18;(2,6);;<0,0,0,0,0>
0;19;(5,5);;<2,1,0,0,0>
0;20;(7,6);;<0,0,0,0,0>
0;21;(1,0);;<1,2,0,0,0>
0;22;(6,0);;<1,1,0,0,0>
0;23;(4,3);;<1,1,0,0,0>
0;24;(0,4);;<6,2,0,0,0>
0;25;(7,0);;<4,1,0,0,0>
0;26;(1,3);;<1,2,0,0,0>
0;27;(1,5);;<1,2,0,0,0>
0;28;(6,5);;<1,1,0,0,0>
0;29;(5,6);;<0,0,0,0,0>
0;30;(0,6);;<0,0,0,0,0>
0;31;(7,7);;<4,1,0,0,0>
0;32;(7,3);;<5,1,0,0,0>
0;33;(1,1);;<1,2,0,0,0>
0;34;(7,5);;<0,0,0,0,0>
0;35;(6,6);;<1,1,0,0,0>
0;36;(6,7);;<1,1,0,0,0>
0;37;(3,0);;<0,0,0,0,0>
0;38;(7,2);;<3,1,0,0,0>
0;39;(2,0);;<0,0,0,0,0>
0;40;(3,6);;<0,0,0,0,0>
0;41;(4,0);;<0,0,0,0,0>
0;42;(5,0);;<0,0,0,0,0>
0;43;(5,7);;<0,0,0,0,0>
0;44;(0,1);;<0,0,0,0,0>
0;45;(1,4);;<0,0,0,0,0>
