sep=;
time;model_id;model_name;port_name;data
0;1;(3,7);;<0,0,0,0,0>
0;2;(2,7);;<0,0,0,0,0>
0;3;(5,4);;<1,1,0,0,0>
0;4;(7,4);;<6,1,0,0,0>
0;5;(3,0);;<0,0,0,0,0>
0;6;(3,3);;<1,2,0,0,0>
0;7;(2,1);;<0,0,0,0,0>
0;8;(1,7);;<1,2,0,0,0>
0;9;(4,2);;<1,1,0,0,0>
0;10;(0,3);;<5,2,0,0,0>
0;11;(2,3);;<1,2,0,0,0>
0;12;(0,0);;<4,2,0,0,0>
0;13;(1,2);;<1,2,0,0,0>
0;14;(1,5);;<1,2,0,0,0>
0;15;(6,5);;<1,1,0,0,0>
0;16;(1,3);;<0,0,0,0,0>
0;17;(5,6);;<0,0,0,0,0>
0;18;(6,1);;<1,1,0,0,0>
0;19;(0,7);;<4,2,0,0,0>
0;20;(5,2);;<2,1,0,0,0>
0;21;(5,1);;<0,0,0,0,0>
0;22;(2,5);;<2,2,0,0,0>
0;23;(4,1);;<0,0,0,0,0>
0;24;(0,2);;<3,2,0,0,0>
0;25;(6,0);;<1,1,0,0,0>
0;26;(5,7);;<0,0,0,0,0>
0;27;(0,1);;<2,2,0,0,0>
0;28;(1,4);;<0,0,0,0,0>
0;29;(7,5);;<3,1,0,0,0>
0;30;(7,3);;<5,1,0,0,0>
0;31;(1,1);;<1,2,0,0,0>
0;32;(4,3);;<1,1,0,0,0>
0;33;(0,4);;<6,2,0,0,0>
0;34;(7,0);;<4,1,0,0,0>
0;35;(0,6);;<0,0,0,0,0>
0;36;(7,7);;<4,1,0,0,0>
0;37;(7,6);;<0,0,0,0,0>
0;38;(1,0);;<1,2,0,0,0>
0;39;(6,6);;<1,1,0,0,0>
0;40;(6,7);;<1,1,0,0,0>
0;41;(4,0);;<0,0,0,0,0>
0;42;(5,0);;<0,0,0,0,0>
0;43;(2,4);;<3,2,0,0,0>
0;44;(3,1);;<0,0,0,0,0>
0;45;(7,1);;<0,0,0,0,0>
