sep=;
time;model_id;model_name;port_name;data
0;1;(3,7);;<0,0,0,0,0>
0;2;(2,7);;<0,0,0,0,0>
0;3;(6,2);;<1,1,0,0,0>
0;4;(4,4);;<1,1,0,0,0>
0;5;(4,5);;<0,0,0,0,0>
0;6;(2,6);;<0,0,0,0,0>
0;7;(2,3);;<1,2,0,0,0>
0;8;(1,7);;<1,2,0,0,0>
0;9;(1,5);;<1,2,0,0,0>
0;10;(6,5);;<1,1,0,0,0>
0;11;(1,3);;<0,0,0,0,0>
0;12;(5,6);;<0,0,0,0,0>
0;13;(5,2);;<2,1,0,0,0>
0;14;(4,1);;<0,0,0,0,0>
0;15;(0,2);;<3,2,0,0,0>
0;16;(6,6);;<1,1,0,0,0>
0;17;(6,1);;<1,1,0,0,0>
0;18;(2,5);;<2,2,0,0,0>
0;19;(5,1);;<0,0,0,0,0>
0;20;(0,7);;<4,2,0,0,0>
0;21;(6,0);;<1,1,0,0,0>
0;22;(5,7);;<0,0,0,0,0>
0;23;(0,1);;<2,2,0,0,0>
0;24;(1,4);;<1,2,0,0,0>
0;25;(7,5);;<3,1,0,0,0>
0;26;(7,3);;<5,1,0,0,0>
0;27;(1,1);;<1,2,0,0,0>
0;28;(4,3);;<2,1,0,0,0>
0;29;(0,4);;<6,2,0,0,0>
0;30;(0,3);;<5,2,0,0,0>
0;31;(4,2);;<0,0,0,0,0>
0;32;(7,0);;<4,1,0,0,0>
0;33;(0,6);;<0,0,0,0,0>
0;34;(7,7);;<4,1,0,0,0>
0;35;(6,7);;<1,1,0,0,0>
0;36;(7,6);;<0,0,0,0,0>
0;37;(1,0);;<0,0,0,0,0>
0;38;(3,0);;<0,0,0,0,0>
0;39;(7,2);;<3,1,0,0,0>
0;40;(2,0);;<1,2,0,0,0>
0;41;(3,6);;<0,0,0,0,0>
0;42;(4,0);;<0,0,0,0,0>
0;43;(5,0);;<0,0,0,0,0>
0;44;(2,1);;<0,0,0,0,0>
0;45;(3,3);;<0,0,0,0,0>
