sep=;
time;model_id;model_name;port_name;data
0;1;(3,7);;<0,0,0,0,0>
0;2;(2,7);;<0,0,0,0,0>
0;3;(5,6);;<0,0,0,0,0>
0;4;(6,3);;<1,1,0,0,0>
0;5;(2,6);;<0,0,0,0,0>
0;6;(7,1);;<2,1,0,0,0>
0;7;(1,7);;<1,2,0,0,0>
0;8;(1,4);;<1,2,0,0,0>
0;9;(5,7);;<0,0,0,0,0>
0;10;(0,1);;<2,2,0,0,0>
0;11;(0,0);;<4,2,0,0,0>
0;12;(1,2);;<1,2,0,0,0>
0;13;(1,6);;<1,2,0,0,0>
0;14;(6,4);;<1,1,0,0,0>
0;15;(4,1);;<0,0,0,0,0>
0;16;(0,2);;<3,2,0,0,0>
0;17;(6,0);;<1,1,0,0,0>
0;18;(6,1);;<1,1,0,0,0>
0;19;(0,7);;<4,2,0,0,0>
0;20;(6,2);;<1,1,0,0,0>
0;21;(7,6);;<2,1,0,0,0>
0;22;(1,0);;<1,2,0,0,0>
0;23;(7,5);;<3,1,0,0,0>
0;24;(7,3);;<5,1,0,0,0>
0;25;(1,1);;<1,2,0,0,0>
0;26;(0,3);;<5,2,0,0,0>
0;27;(4,2);;<0,0,0,0,0>
0;28;(7,0);;<4,1,0,0,0>
0;29;(1,3);;<1,2,0,0,0>
0;30;(1,5);;<1,2,0,0,0>
0;31;(6,5);;<1,1,0,0,0>
0;32;(0,6);;<2,2,0,0,0>
0;33;(7,7);;<4,1,0,0,0>
0;34;(6,6);;<1,1,0,0,0>
0;35;(6,7);;<1,1,0,0,0>
0;36;(3,0);;<0,0,0,0,0>
0;37;(7,2);;<3,1,0,0,0>
0;38;(2,0);;<0,0,0,0,0>
0;39;(3,6);;<0,0,0,0,0>
0;40;(4,0);;<0,0,0,0,0>
0;41;(5,0);;<0,0,0,0,0>
0;42;(2,1);;<0,0,0,0,0>
0;43;(3,3);;<0,0,0,0,0>
0;44;(2,4);;<0,0,0,0,0>
0;45;(3,1);;<0,0,0,0,0>
