sep=;
time;model_id;model_name;port_name;data
0;1;(3,8);;<0>
0;2;(1,7);;<0>
0;3;(0,7);;<0>
0;4;(2,6);;<0>
0;5;(0,6);;<0>
0;6;(4,7);;<0>
0;7;(3,6);;<0>
0;8;(3,0);;<0>
0;9;(1,8);;<0>
0;10;(3,5);;<0>
0;11;(2,8);;<0>
0;12;(1,0);;<0>
0;13;(0,0);;<0>
0;14;(4,0);;<0>
0;15;(1,4);;<1>
0;16;(0,1);;<0>
0;17;(2,5);;<1>
0;18;(0,2);;<0>
0;19;(1,6);;<0>
0;20;(4,1);;<0>
0;21;(2,4);;<1>
0;22;(3,1);;<0>
0;23;(4,5);;<0>
0;24;(4,4);;<0>
0;25;(2,3);;<1>
0;26;(1,2);;<0>
0;27;(3,2);;<0>
0;28;(3,4);;<1>
0;29;(1,5);;<1>
0;30;(2,0);;<0>
0;31;(1,1);;<0>
0;32;(4,6);;<0>
0;33;(3,3);;<1>
0;34;(2,1);;<0>
0;35;(3,7);;<0>
0;36;(2,2);;<0>
0;37;(4,8);;<0>
0;38;(0,8);;<0>
0;39;(4,2);;<0>
0;40;(0,3);;<0>
0;41;(2,7);;<0>
0;42;(0,4);;<0>
0;43;(1,3);;<0>
0;44;(4,3);;<0>
0;45;(0,5);;<0>
0;1;(3,8);outputNeighborhood;<0>
0;1;(3,8);;<0>
0;2;(1,7);outputNeighborhood;<0>
0;2;(1,7);;<0>
0;3;(0,7);outputNeighborhood;<0>
0;3;(0,7);;<0>
0;4;(2,6);outputNeighborhood;<0>
0;4;(2,6);;<1>
0;5;(0,6);outputNeighborhood;<0>
0;5;(0,6);;<0>
0;6;(4,7);outputNeighborhood;<0>
0;6;(4,7);;<0>
0;7;(3,6);outputNeighborhood;<0>
0;7;(3,6);;<0>
0;8;(3,0);outputNeighborhood;<0>
0;8;(3,0);;<0>
0;9;(1,8);outputNeighborhood;<0>
0;9;(1,8);;<0>
0;10;(3,5);outputNeighborhood;<0>
0;10;(3,5);;<1>
0;11;(2,8);outputNeighborhood;<0>
0;11;(2,8);;<0>
0;12;(1,0);outputNeighborhood;<0>
0;12;(1,0);;<0>
0;13;(0,0);outputNeighborhood;<0>
0;13;(0,0);;<0>
0;14;(4,0);outputNeighborhood;<0>
0;14;(4,0);;<0>
0;15;(1,4);outputNeighborhood;<1>
0;15;(1,4);;<0>
0;16;(0,1);outputNeighborhood;<0>
0;16;(0,1);;<0>
0;17;(2,5);outputNeighborhood;<1>
0;17;(2,5);;<0>
0;18;(0,2);outputNeighborhood;<0>
0;18;(0,2);;<0>
0;19;(1,6);outputNeighborhood;<0>
0;19;(1,6);;<1>
0;20;(4,1);outputNeighborhood;<0>
0;20;(4,1);;<0>
0;21;(2,4);outputNeighborhood;<1>
0;21;(2,4);;<0>
0;22;(3,1);outputNeighborhood;<0>
0;22;(3,1);;<0>
0;23;(4,5);outputNeighborhood;<0>
0;23;(4,5);;<0>
0;24;(4,4);outputNeighborhood;<0>
0;24;(4,4);;<1>
0;25;(2,3);outputNeighborhood;<1>
0;25;(2,3);;<0>
0;26;(1,2);outputNeighborhood;<0>
0;26;(1,2);;<0>
0;27;(3,2);outputNeighborhood;<0>
0;27;(3,2);;<1>
0;28;(3,4);outputNeighborhood;<1>
0;28;(3,4);;<0>
0;29;(1,5);outputNeighborhood;<1>
0;29;(1,5);;<1>
0;30;(2,0);outputNeighborhood;<0>
0;30;(2,0);;<0>
0;31;(1,1);outputNeighborhood;<0>
0;31;(1,1);;<0>
0;32;(4,6);outputNeighborhood;<0>
0;32;(4,6);;<0>
0;33;(3,3);outputNeighborhood;<1>
0;33;(3,3);;<1>
0;34;(2,1);outputNeighborhood;<0>
0;34;(2,1);;<0>
0;35;(3,7);outputNeighborhood;<0>
0;35;(3,7);;<0>
0;36;(2,2);outputNeighborhood;<0>
0;36;(2,2);;<1>
0;37;(4,8);outputNeighborhood;<0>
0;37;(4,8);;<0>
0;38;(0,8);outputNeighborhood;<0>
0;38;(0,8);;<0>
0;39;(4,2);outputNeighborhood;<0>
0;39;(4,2);;<0>
0;40;(0,3);outputNeighborhood;<0>
0;40;(0,3);;<0>
0;41;(2,7);outputNeighborhood;<0>
0;41;(2,7);;<0>
0;42;(0,4);outputNeighborhood;<0>
0;42;(0,4);;<1>
0;43;(1,3);outputNeighborhood;<0>
0;43;(1,3);;<1>
0;44;(4,3);outputNeighborhood;<0>
