sep=;
time;model_id;model_name;port_name;data
0;1;(6,7);;<0>
0;2;(3,7);;<0>
0;3;(1,3);;<0>
0;4;(5,6);;<0>
0;5;(7,1);;<0>
0;6;(2,3);;<0>
0;7;(4,2);;<0>
0;8;(0,3);;<0>
0;9;(6,1);;<0>
0;10;(7,7);;<0>
0;11;(0,6);;<0>
0;12;(2,1);;<0>
0;13;(3,3);;<0>
0;14;(7,5);;<1>
0;15;(4,6);;<0>
0;16;(2,2);;<0>
0;17;(2,6);;<0>
0;18;(1,2);;<0>
0;19;(0,0);;<0>
0;20;(5,2);;<0>
0;21;(1,1);;<0>
0;22;(7,3);;<0>
0;23;(4,0);;<0>
0;24;(0,2);;<-1>
0;25;(4,1);;<0>
0;26;(3,1);;<0>
0;27;(2,4);;<0>
0;28;(5,0);;<0>
0;29;(6,2);;<0>
0;30;(3,2);;<0>
0;31;(3,5);;<0>
0;32;(7,6);;<0>
0;33;(1,0);;<0>
0;34;(3,0);;<0>
0;35;(7,2);;<1>
0;36;(2,0);;<0>
0;37;(3,6);;<0>
0;38;(7,0);;<0>
0;39;(6,0);;<0>
0;40;(5,7);;<0>
0;41;(0,1);;<0>
0;42;(1,4);;<0>
0;43;(5,3);;<0>
0;44;(6,3);;<0>
0;45;(4,3);;<0>
0;46;(0,4);;<0>
0;47;(2,7);;<0>
0;48;(4,7);;<0>
0;49;(0,5);;<-1>
0;50;(3,4);;<0>
0;51;(4,4);;<0>
0;52;(4,5);;<0>
0;53;(7,4);;<0>
0;54;(5,4);;<0>
0;55;(1,6);;<0>
0;56;(6,4);;<0>
0;57;(6,5);;<0>
0;58;(1,5);;<0>
0;59;(5,1);;<0>
0;60;(2,5);;<0>
0;61;(5,5);;<0>
0;62;(6,6);;<0>
0;63;(0,7);;<0>
0;64;(1,7);;<0>
0;1;(6,7);outputNeighborhood;<0>
0;1;(6,7);;<0>
0;2;(3,7);outputNeighborhood;<0>
0;2;(3,7);;<0>
0;3;(1,3);outputNeighborhood;<0>
0;3;(1,3);;<-1>
0;4;(5,6);outputNeighborhood;<0>
0;4;(5,6);;<0>
0;5;(7,1);outputNeighborhood;<0>
0;5;(7,1);;<0>
0;6;(2,3);outputNeighborhood;<0>
0;6;(2,3);;<-1>
0;7;(4,2);outputNeighborhood;<0>
0;7;(4,2);;<1>
0;8;(0,3);outputNeighborhood;<0>
0;8;(0,3);;<0>
0;9;(6,1);outputNeighborhood;<0>
0;9;(6,1);;<1>
0;10;(7,7);outputNeighborhood;<0>
0;10;(7,7);;<0>
0;11;(0,6);outputNeighborhood;<0>
0;11;(0,6);;<0>
0;12;(2,1);outputNeighborhood;<0>
0;12;(2,1);;<0>
0;13;(3,3);outputNeighborhood;<0>
0;13;(3,3);;<0>
0;14;(7,5);outputNeighborhood;<1>
0;14;(7,5);;<1>
0;15;(4,6);outputNeighborhood;<0>
0;15;(4,6);;<-1>
0;16;(2,2);outputNeighborhood;<0>
0;16;(2,2);;<0>
0;17;(2,6);outputNeighborhood;<0>
0;17;(2,6);;<0>
0;18;(1,2);outputNeighborhood;<0>
0;18;(1,2);;<0>
0;19;(0,0);outputNeighborhood;<0>
0;19;(0,0);;<0>
0;20;(5,2);outputNeighborhood;<0>
0;20;(5,2);;<0>
0;21;(1,1);outputNeighborhood;<0>
0;21;(1,1);;<-1>
0;22;(7,3);outputNeighborhood;<0>
0;22;(7,3);;<0>
0;23;(4,0);outputNeighborhood;<0>
0;23;(4,0);;<0>
0;24;(0,2);outputNeighborhood;<-1>
0;24;(0,2);;<-1>
0;25;(4,1);outputNeighborhood;<0>
0;25;(4,1);;<-1>
0;26;(3,1);outputNeighborhood;<0>
0;26;(3,1);;<1>
0;27;(2,4);outputNeighborhood;<0>
0;27;(2,4);;<-1>
0;28;(5,0);outputNeighborhood;<0>
0;28;(5,0);;<0>
0;29;(6,2);outputNeighborhood;<0>
0;29;(6,2);;<0>
0;30;(3,2);outputNeighborhood;<0>
0;30;(3,2);;<-1>
0;31;(3,5);outputNeighborhood;<0>
0;31;(3,5);;<-1>
0;32;(7,6);outputNeighborhood;<0>
0;32;(7,6);;<0>
0;33;(1,0);outputNeighborhood;<0>
0;33;(1,0);;<0>
0;34;(3,0);outputNeighborhood;<0>
0;34;(3,0);;<0>
0;35;(7,2);outputNeighborhood;<1>
0;35;(7,2);;<1>
0;36;(2,0);outputNeighborhood;<0>
0;36;(2,0);;<0>
0;37;(3,6);outputNeighborhood;<0>
0;37;(3,6);;<1>
0;38;(7,0);outputNeighborhood;<0>
0;38;(7,0);;<0>
0;39;(6,0);outputNeighborhood;<0>
0;39;(6,0);;<0>
0;40;(5,7);outputNeighborhood;<0>
0;40;(5,7);;<0>
0;41;(0,1);outputNeighborhood;<0>
0;41;(0,1);;<0>
0;42;(1,4);outputNeighborhood;<0>
0;42;(1,4);;<-1>
0;43;(5,3);outputNeighborhood;<0>
0;43;(5,3);;<1>
0;44;(6,3);outputNeighborhood;<0>
0;44;(6,3);;<1>
0;45;(4,3);outputNeighborhood;<0>
0;45;(4,3);;<0>
0;46;(0,4);outputNeighborhood;<0>
0;46;(0,4);;<0>
0;47;(2,7);outputNeighborhood;<0>
0;47;(2,7);;<0>
0;48;(4,7);outputNeighborhood;<0>
0;48;(4,7);;<0>
0;49;(0,5);outputNeighborhood;<-1>
0;49;(0,5);;<-1>
0;50;(3,4);outputNeighborhood;<0>
0;50;(3,4);;<0>
0;51;(4,4);outputNeighborhood;<0>
0;51;(4,4);;<0>
0;52;(4,5);outputNeighborhood;<0>
0;52;(4,5);;<1>
0;53;(7,4);outputNeighborhood;<0>
0;53;(7,4);;<0>
0;54;(5,4);outputNeighborhood;<0>
0;54;(5,4);;<1>
0;55;(1,6);outputNeighborhood;<0>
0;55;(1,6);;<-1>
0;56;(6,4);outputNeighborhood;<0>
0;56;(6,4);;<1>
0;57;(6,5);outputNeighborhood;<0>
0;57;(6,5);;<0>
0;58;(1,5);outputNeighborhood;<0>
0;58;(1,5);;<0>
0;59;(5,1);outputNeighborhood;<0>
0;59;(5,1);;<0>
0;60;(2,5);outputNeighborhood;<0>
0;60;(2,5);;<0>
0;61;(5,5);outputNeighborhood;<0>
0;61;(5,5);;<0>
0;62;(6,6);outputNeighborhood;<0>
0;62;(6,6);;<1>
0;63;(0,7);outputNeighborhood;<0>
0;63;(0,7);;<0>
0;64;(1,7);outputNeighborhood;<0>
0;64;(1,7);;<0>
1;1;(6,7);;<0>
1;2;(3,7);;<0>
1;3;(1,3);outputNeighborhood;<-1>
1;3;(1,3);;<-1>
1;4;(5,6);;<0>
1;5;(7,1);;<0>
1;6;(2,3);outputNeighborhood;<-1>
1;6;(2,3);;<-1>
1;7;(4,2);outputNeighborhood;<1>
1;7;(4,2);;<1>
1;8;(0,3);;<0>
1;9;(6,1);outputNeighborhood;<1>
1;9;(6,1);;<1>
1;10;(7,7);;<-1>
1;11;(0,6);;<0>
1;12;(2,1);;<0>
1;13;(3,3);;<-1>
1;14;(7,5);outputNeighborhood;<1>
1;14;(7,5);;<1>
1;15;(4,6);outputNeighborhood;<-1>
1;15;(4,6);;<-1>
1;16;(2,2);;<-1>
1;17;(2,6);;<0>
1;18;(1,2);;<0>
1;19;(0,0);;<-1>
1;20;(5,2);;<0>
1;21;(1,1);outputNeighborhood;<-1>
1;21;(1,1);;<-1>
1;22;(7,3);;<0>
1;23;(4,0);;<0>
1;24;(0,2);outputNeighborhood;<-1>
1;24;(0,2);;<-1>
1;25;(4,1);outputNeighborhood;<-1>
1;25;(4,1);;<-1>
1;26;(3,1);outputNeighborhood;<1>
1;26;(3,1);;<1>
1;27;(2,4);outputNeighborhood;<-1>
1;27;(2,4);;<-1>
1;28;(5,0);;<-1>
1;29;(6,2);;<0>
1;30;(3,2);outputNeighborhood;<-1>
1;30;(3,2);;<-1>
1;31;(3,5);outputNeighborhood;<-1>
1;31;(3,5);;<-1>
1;32;(7,6);;<0>
1;33;(1,0);;<0>
1;34;(3,0);;<0>
1;35;(7,2);outputNeighborhood;<1>
1;35;(7,2);;<1>
1;36;(2,0);;<-1>
1;37;(3,6);outputNeighborhood;<1>
1;37;(3,6);;<1>
1;38;(7,0);;<0>
1;39;(6,0);;<0>
1;40;(5,7);;<-1>
1;41;(0,1);;<0>
1;42;(1,4);outputNeighborhood;<-1>
1;42;(1,4);;<-1>
1;43;(5,3);outputNeighborhood;<1>
1;43;(5,3);;<1>
1;44;(6,3);outputNeighborhood;<1>
1;44;(6,3);;<1>
1;45;(4,3);;<0>
1;46;(0,4);;<0>
1;47;(2,7);;<1>
1;48;(4,7);;<0>
1;49;(0,5);outputNeighborhood;<-1>
1;49;(0,5);;<-1>
1;50;(3,4);;<0>
1;51;(4,4);;<-1>
1;52;(4,5);outputNeighborhood;<1>
1;52;(4,5);;<1>
1;53;(7,4);;<0>
1;54;(5,4);outputNeighborhood;<1>
1;54;(5,4);;<1>
1;55;(1,6);outputNeighborhood;<-1>
1;55;(1,6);;<-1>
1;56;(6,4);outputNeighborhood;<1>
1;56;(6,4);;<1>
1;57;(6,5);;<0>
1;58;(1,5);;<0>
1;59;(5,1);;<0>
1;60;(2,5);;<0>
1;61;(5,5);;<-1>
1;62;(6,6);outputNeighborhood;<1>
1;62;(6,6);;<1>
1;63;(0,7);;<0>
1;64;(1,7);;<0>
2;1;(6,7);;<0>
2;2;(3,7);;<-1>
2;3;(1,3);outputNeighborhood;<-1>
2;3;(1,3);;<-1>
2;4;(5,6);;<0>
2;5;(7,1);;<-1>
2;6;(2,3);outputNeighborhood;<-1>
2;6;(2,3);;<-1>
2;7;(4,2);outputNeighborhood;<1>
2;7;(4,2);;<1>
2;8;(0,3);;<0>
2;9;(6,1);outputNeighborhood;<1>
2;9;(6,1);;<1>
2;10;(7,7);outputNeighborhood;<-1>
2;10;(7,7);;<-1>
2;11;(0,6);;<-1>
2;12;(2,1);;<0>
2;13;(3,3);outputNeighborhood;<-1>
2;13;(3,3);;<-1>
2;14;(7,5);outputNeighborhood;<1>
2;14;(7,5);;<1>
2;15;(4,6);outputNeighborhood;<-1>
2;15;(4,6);;<-1>
2;16;(2,2);outputNeighborhood;<-1>
2;16;(2,2);;<-1>
2;17;(2,6);;<-1>
2;18;(1,2);;<0>
2;19;(0,0);outputNeighborhood;<-1>
2;19;(0,0);;<-1>
2;20;(5,2);;<0>
2;21;(1,1);outputNeighborhood;<-1>
2;21;(1,1);;<-1>
2;22;(7,3);;<-1>
2;23;(4,0);;<-1>
2;24;(0,2);outputNeighborhood;<-1>
2;24;(0,2);;<-1>
2;25;(4,1);outputNeighborhood;<-1>
2;25;(4,1);;<-1>
2;26;(3,1);outputNeighborhood;<1>
2;26;(3,1);;<1>
2;27;(2,4);outputNeighborhood;<-1>
2;27;(2,4);;<-1>
2;28;(5,0);outputNeighborhood;<-1>
2;28;(5,0);;<-1>
2;29;(6,2);;<-1>
2;30;(3,2);outputNeighborhood;<-1>
2;30;(3,2);;<-1>
2;31;(3,5);outputNeighborhood;<-1>
2;31;(3,5);;<-1>
2;32;(7,6);;<0>
2;33;(1,0);;<0>
2;34;(3,0);;<0>
2;35;(7,2);outputNeighborhood;<1>
2;35;(7,2);;<1>
2;36;(2,0);outputNeighborhood;<-1>
2;36;(2,0);;<-1>
2;37;(3,6);outputNeighborhood;<1>
2;37;(3,6);;<1>
2;38;(7,0);;<0>
2;39;(6,0);;<-1>
2;40;(5,7);outputNeighborhood;<-1>
2;40;(5,7);;<-1>
2;41;(0,1);;<0>
2;42;(1,4);outputNeighborhood;<-1>
2;42;(1,4);;<-1>
2;43;(5,3);outputNeighborhood;<1>
2;43;(5,3);;<1>
2;44;(6,3);outputNeighborhood;<1>
2;44;(6,3);;<1>
2;45;(4,3);;<0>
2;46;(0,4);;<-1>
2;47;(2,7);outputNeighborhood;<1>
2;47;(2,7);;<1>
2;48;(4,7);;<0>
2;49;(0,5);outputNeighborhood;<-1>
2;49;(0,5);;<-1>
2;50;(3,4);;<0>
2;51;(4,4);outputNeighborhood;<-1>
2;51;(4,4);;<-1>
