sep=;
time;model_id;model_name;port_name;data
0;1;(6,7);;<0>
0;2;(3,7);;<0>
0;3;(2,7);;<0>
0;4;(2,6);;<0>
0;5;(5,2);;<0>
0;6;(7,1);;<0>
0;7;(2,3);;<0>
0;8;(4,2);;<0>
0;9;(0,3);;<0>
0;10;(6,1);;<0>
0;11;(7,0);;<1>
0;12;(1,3);;<0>
0;13;(5,6);;<0>
0;14;(0,6);;<0>
0;15;(7,7);;<1>
0;16;(1,2);;<0>
0;17;(0,0);;<-1>
0;18;(0,7);;<-1>
0;19;(6,2);;<0>
0;20;(3,2);;<0>
0;21;(3,5);;<0>
0;22;(3,0);;<0>
0;23;(7,2);;<0>
0;24;(2,0);;<0>
0;25;(3,6);;<0>
0;26;(7,3);;<0>
0;27;(1,1);;<0>
0;28;(7,5);;<0>
0;29;(2,1);;<0>
0;30;(3,3);;<0>
0;31;(2,2);;<0>
0;32;(4,6);;<0>
0;33;(4,0);;<0>
0;34;(0,2);;<0>
0;35;(4,1);;<0>
0;36;(3,1);;<0>
0;37;(2,4);;<0>
0;38;(5,0);;<0>
0;39;(5,7);;<0>
0;40;(0,1);;<0>
0;41;(1,4);;<0>
0;42;(6,0);;<0>
0;43;(5,3);;<0>
0;44;(6,3);;<0>
0;45;(4,3);;<0>
0;46;(0,4);;<0>
0;47;(4,4);;<0>
0;48;(4,5);;<0>
0;49;(7,4);;<0>
0;50;(5,4);;<0>
0;51;(1,6);;<0>
0;52;(6,4);;<0>
0;53;(4,7);;<0>
0;54;(3,4);;<0>
0;55;(0,5);;<0>
0;56;(1,0);;<0>
0;57;(7,6);;<0>
0;58;(6,5);;<0>
0;59;(1,5);;<0>
0;60;(5,1);;<0>
0;61;(2,5);;<0>
0;62;(5,5);;<0>
0;63;(6,6);;<0>
0;64;(1,7);;<0>
0;1;(6,7);outputNeighborhood;<0>
0;1;(6,7);;<0>
0;2;(3,7);outputNeighborhood;<0>
0;2;(3,7);;<0>
0;3;(2,7);outputNeighborhood;<0>
0;3;(2,7);;<0>
0;4;(2,6);outputNeighborhood;<0>
0;4;(2,6);;<0>
0;5;(5,2);outputNeighborhood;<0>
0;5;(5,2);;<0>
0;6;(7,1);outputNeighborhood;<0>
0;6;(7,1);;<1>
0;7;(2,3);outputNeighborhood;<0>
0;7;(2,3);;<0>
0;8;(4,2);outputNeighborhood;<0>
0;8;(4,2);;<0>
0;9;(0,3);outputNeighborhood;<0>
0;9;(0,3);;<-1>
0;10;(6,1);outputNeighborhood;<0>
0;10;(6,1);;<0>
0;11;(7,0);outputNeighborhood;<1>
0;11;(7,0);;<1>
0;12;(1,3);outputNeighborhood;<0>
0;12;(1,3);;<0>
0;13;(5,6);outputNeighborhood;<0>
0;13;(5,6);;<0>
0;14;(0,6);outputNeighborhood;<0>
0;14;(0,6);;<-1>
0;15;(7,7);outputNeighborhood;<1>
0;15;(7,7);;<1>
0;16;(1,2);outputNeighborhood;<0>
0;16;(1,2);;<0>
0;17;(0,0);outputNeighborhood;<-1>
0;17;(0,0);;<-1>
0;18;(0,7);outputNeighborhood;<-1>
0;18;(0,7);;<-1>
0;19;(6,2);outputNeighborhood;<0>
0;19;(6,2);;<0>
0;20;(3,2);outputNeighborhood;<0>
0;20;(3,2);;<0>
0;21;(3,5);outputNeighborhood;<0>
0;21;(3,5);;<0>
0;22;(3,0);outputNeighborhood;<0>
0;22;(3,0);;<1>
0;23;(7,2);outputNeighborhood;<0>
0;23;(7,2);;<1>
0;24;(2,0);outputNeighborhood;<0>
0;24;(2,0);;<1>
0;25;(3,6);outputNeighborhood;<0>
0;25;(3,6);;<0>
0;26;(7,3);outputNeighborhood;<0>
0;26;(7,3);;<1>
0;27;(1,1);outputNeighborhood;<0>
0;27;(1,1);;<0>
0;28;(7,5);outputNeighborhood;<0>
0;28;(7,5);;<1>
0;29;(2,1);outputNeighborhood;<0>
0;29;(2,1);;<0>
0;30;(3,3);outputNeighborhood;<0>
0;30;(3,3);;<0>
0;31;(2,2);outputNeighborhood;<0>
0;31;(2,2);;<0>
0;32;(4,6);outputNeighborhood;<0>
0;32;(4,6);;<0>
0;33;(4,0);outputNeighborhood;<0>
0;33;(4,0);;<1>
0;34;(0,2);outputNeighborhood;<0>
0;34;(0,2);;<-1>
0;35;(4,1);outputNeighborhood;<0>
0;35;(4,1);;<0>
0;36;(3,1);outputNeighborhood;<0>
0;36;(3,1);;<0>
0;37;(2,4);outputNeighborhood;<0>
0;37;(2,4);;<0>
0;38;(5,0);outputNeighborhood;<0>
0;38;(5,0);;<1>
0;39;(5,7);outputNeighborhood;<0>
0;39;(5,7);;<0>
0;40;(0,1);outputNeighborhood;<0>
0;40;(0,1);;<-1>
0;41;(1,4);outputNeighborhood;<0>
0;41;(1,4);;<0>
0;42;(6,0);outputNeighborhood;<0>
0;42;(6,0);;<1>
0;43;(5,3);outputNeighborhood;<0>
0;43;(5,3);;<0>
0;44;(6,3);outputNeighborhood;<0>
0;44;(6,3);;<0>
0;45;(4,3);outputNeighborhood;<0>
0;45;(4,3);;<0>
0;46;(0,4);outputNeighborhood;<0>
0;46;(0,4);;<-1>
0;47;(4,4);outputNeighborhood;<0>
0;47;(4,4);;<0>
0;48;(4,5);outputNeighborhood;<0>
0;48;(4,5);;<0>
0;49;(7,4);outputNeighborhood;<0>
0;49;(7,4);;<1>
0;50;(5,4);outputNeighborhood;<0>
0;50;(5,4);;<0>
0;51;(1,6);outputNeighborhood;<0>
0;51;(1,6);;<0>
0;52;(6,4);outputNeighborhood;<0>
0;52;(6,4);;<0>
0;53;(4,7);outputNeighborhood;<0>
0;53;(4,7);;<0>
0;54;(3,4);outputNeighborhood;<0>
0;54;(3,4);;<0>
0;55;(0,5);outputNeighborhood;<0>
0;55;(0,5);;<-1>
0;56;(1,0);outputNeighborhood;<0>
0;56;(1,0);;<1>
0;57;(7,6);outputNeighborhood;<0>
0;57;(7,6);;<1>
0;58;(6,5);outputNeighborhood;<0>
0;58;(6,5);;<0>
0;59;(1,5);outputNeighborhood;<0>
0;59;(1,5);;<0>
0;60;(5,1);outputNeighborhood;<0>
0;60;(5,1);;<0>
0;61;(2,5);outputNeighborhood;<0>
0;61;(2,5);;<0>
0;62;(5,5);outputNeighborhood;<0>
0;62;(5,5);;<0>
0;63;(6,6);outputNeighborhood;<0>
0;63;(6,6);;<0>
0;64;(1,7);outputNeighborhood;<0>
0;64;(1,7);;<0>
1;1;(6,7);;<1>
1;2;(3,7);;<1>
1;3;(2,7);;<1>
1;4;(2,6);;<1>
1;5;(5,2);;<1>
1;6;(7,1);outputNeighborhood;<1>
1;6;(7,1);;<1>
1;7;(2,3);;<1>
1;8;(4,2);;<1>
1;9;(0,3);outputNeighborhood;<-1>
1;9;(0,3);;<-1>
1;10;(6,1);;<1>
1;11;(7,0);outputNeighborhood;<1>
1;11;(7,0);;<1>
1;12;(1,3);;<1>
1;13;(5,6);;<1>
1;14;(0,6);outputNeighborhood;<-1>
1;14;(0,6);;<-1>
1;15;(7,7);outputNeighborhood;<1>
1;15;(7,7);;<1>
1;16;(1,2);;<1>
1;17;(0,0);outputNeighborhood;<-1>
1;17;(0,0);;<-1>
1;18;(0,7);outputNeighborhood;<-1>
1;18;(0,7);;<-1>
1;19;(6,2);;<1>
1;20;(3,2);;<1>
1;21;(3,5);;<1>
1;22;(3,0);outputNeighborhood;<1>
1;22;(3,0);;<1>
1;23;(7,2);outputNeighborhood;<1>
1;23;(7,2);;<1>
1;24;(2,0);outputNeighborhood;<1>
1;24;(2,0);;<1>
1;25;(3,6);;<1>
1;26;(7,3);outputNeighborhood;<1>
1;26;(7,3);;<1>
1;27;(1,1);;<1>
1;28;(7,5);outputNeighborhood;<1>
1;28;(7,5);;<1>
1;29;(2,1);;<1>
1;30;(3,3);;<1>
1;31;(2,2);;<1>
1;32;(4,6);;<1>
1;33;(4,0);outputNeighborhood;<1>
1;33;(4,0);;<1>
1;34;(0,2);outputNeighborhood;<-1>
1;34;(0,2);;<-1>
1;35;(4,1);;<1>
1;36;(3,1);;<1>
1;37;(2,4);;<1>
1;38;(5,0);outputNeighborhood;<1>
1;38;(5,0);;<1>
1;39;(5,7);;<1>
1;40;(0,1);outputNeighborhood;<-1>
1;40;(0,1);;<-1>
1;41;(1,4);;<1>
1;42;(6,0);outputNeighborhood;<1>
1;42;(6,0);;<1>
1;43;(5,3);;<1>
1;44;(6,3);;<1>
1;45;(4,3);;<1>
1;46;(0,4);outputNeighborhood;<-1>
1;46;(0,4);;<-1>
1;47;(4,4);;<1>
1;48;(4,5);;<1>
1;49;(7,4);outputNeighborhood;<1>
1;49;(7,4);;<1>
1;50;(5,4);;<1>
1;51;(1,6);;<1>
1;52;(6,4);;<1>
1;53;(4,7);;<1>
1;54;(3,4);;<1>
1;55;(0,5);outputNeighborhood;<-1>
1;55;(0,5);;<-1>
1;56;(1,0);outputNeighborhood;<1>
1;56;(1,0);;<1>
1;57;(7,6);outputNeighborhood;<1>
1;57;(7,6);;<1>
1;58;(6,5);;<1>
1;59;(1,5);;<1>
1;60;(5,1);;<1>
1;61;(2,5);;<1>
1;62;(5,5);;<1>
1;63;(6,6);;<1>
1;64;(1,7);;<1>
2;1;(6,7);outputNeighborhood;<1>
2;1;(6,7);;<1>
2;2;(3,7);outputNeighborhood;<1>
2;2;(3,7);;<1>
2;3;(2,7);outputNeighborhood;<1>
2;3;(2,7);;<1>
2;4;(2,6);outputNeighborhood;<1>
2;4;(2,6);;<1>
2;5;(5,2);outputNeighborhood;<1>
2;5;(5,2);;<1>
2;6;(7,1);outputNeighborhood;<1>
2;6;(7,1);;<1>
2;7;(2,3);outputNeighborhood;<1>
2;7;(2,3);;<1>
2;8;(4,2);outputNeighborhood;<1>
2;8;(4,2);;<1>
2;9;(0,3);outputNeighborhood;<-1>
2;9;(0,3);;<-1>
2;10;(6,1);outputNeighborhood;<1>
2;10;(6,1);;<1>
2;11;(7,0);outputNeighborhood;<1>
2;11;(7,0);;<1>
2;12;(1,3);outputNeighborhood;<1>
2;12;(1,3);;<1>
2;13;(5,6);outputNeighborhood;<1>
2;13;(5,6);;<1>
2;14;(0,6);outputNeighborhood;<-1>
2;14;(0,6);;<-1>
2;15;(7,7);outputNeighborhood;<1>
2;15;(7,7);;<1>
2;16;(1,2);outputNeighborhood;<1>
2;16;(1,2);;<1>
2;17;(0,0);outputNeighborhood;<-1>
2;17;(0,0);;<-1>
2;18;(0,7);outputNeighborhood;<-1>
2;18;(0,7);;<-1>
2;19;(6,2);outputNeighborhood;<1>
2;19;(6,2);;<1>
2;20;(3,2);outputNeighborhood;<1>
2;20;(3,2);;<1>
2;21;(3,5);outputNeighborhood;<1>
2;21;(3,5);;<1>
2;22;(3,0);outputNeighborhood;<1>
2;22;(3,0);;<1>
2;23;(7,2);outputNeighborhood;<1>
2;23;(7,2);;<1>
2;24;(2,0);outputNeighborhood;<1>
2;24;(2,0);;<1>
2;25;(3,6);outputNeighborhood;<1>
2;25;(3,6);;<1>
2;26;(7,3);outputNeighborhood;<1>
2;26;(7,3);;<1>
2;27;(1,1);outputNeighborhood;<1>
2;27;(1,1);;<1>
2;28;(7,5);outputNeighborhood;<1>
2;28;(7,5);;<1>
2;29;(2,1);outputNeighborhood;<1>
2;29;(2,1);;<1>
2;30;(3,3);outputNeighborhood;<1>
2;30;(3,3);;<1>
2;31;(2,2);outputNeighborhood;<1>
2;31;(2,2);;<1>
2;32;(4,6);outputNeighborhood;<1>
2;32;(4,6);;<1>
2;33;(4,0);outputNeighborhood;<1>
2;33;(4,0);;<1>
2;34;(0,2);outputNeighborhood;<-1>
2;34;(0,2);;<-1>
2;35;(4,1);outputNeighborhood;<1>
2;35;(4,1);;<1>
2;36;(3,1);outputNeighborhood;<1>
2;36;(3,1);;<1>
2;37;(2,4);outputNeighborhood;<1>
2;37;(2,4);;<1>
2;38;(5,0);outputNeighborhood;<1>
2;38;(5,0);;<1>
2;39;(5,7);outputNeighborhood;<1>
2;39;(5,7);;<1>
2;40;(0,1);outputNeighborhood;<-1>
