scenario,coverage,symmetry,connectivity,holes
adaptiveBishop_8x8,0.000,1.000,0,0
adaptiveMoore_9x13,0.085,1.000,10,0
adaptiveQueen_8x8,0.250,0.604,11,0
adaptiveQueen_9x13,0.000,1.000,0,0
adaptiveRook_8x8,0.875,0.833,2,0
asymm_r1_r2_r3_r4_bishop,0.891,0.823,1,4
asymm_r1_r2_r3_r4_knight,0.703,0.510,3,0
asymm_r1_r2_r3_r4_queen,0.000,1.000,0,0
asymm_r1_r2_r3_r4_rook,0.125,0.833,1,0
asymm_r1_r3_bishop,0.250,0.500,16,6
asymm_r1_r3_knight,0.766,0.719,1,2
asymm_r1_r3_queen,0.000,1.000,0,0
asymm_r1_r3_rook,0.250,1.000,1,0
asymm_r3_r5_bishop,0.484,0.427,6,2
asymm_r3_r5_knight,0.594,0.500,3,1
asymm_r3_r5_queen,0.000,1.000,0,0
asymm_r3_r5_rook,0.328,0.802,4,1
bishopNeighborhood_8x8,0.062,0.917,4,0
bishopNeighborhood_9x13,0.034,1.000,4,1
chessVariantKernel1SmallGrid,0.245,1.000,4,0
chessVariantKernel1_glider,0.239,0.675,15,1
chessVariantKernel1,0.085,1.000,10,0
chessVariantKernel1_large,0.140,0.767,32,0
chessVariantKernel1_line,0.171,1.000,8,0
chessVariantKernel1_noWrap,0.103,1.000,4,0
chessVariantKernel2SmallGrid,0.667,1.000,2,0
chessVariantKernel2,0.154,0.795,12,0
knightNeighborhood_8x8,0.125,1.000,5,0
knightNeighborhood_9x13,0.103,1.000,8,0
multiPiece_8x8,0.438,0.542,14,1
rookNeighborhood_8x8,0.031,0.958,2,0
lifecycle_fast_bishop,0.516,0.427,9,5
lifecycle_fast_knight,0.578,0.531,4,2
lifecycle_fast_moore,0.562,0.479,4,2
lifecycle_fast_queen,0.547,0.615,5,3
lifecycle_fast_rook,0.375,0.500,1,0
lifecycle_medium_bishop,0.625,0.479,6,2
lifecycle_medium_knight,0.750,0.646,1,1
lifecycle_medium_moore,0.641,0.594,1,2
lifecycle_medium_queen,0.938,0.875,1,3
lifecycle_medium_rook,0.375,0.500,1,0
lifecycle_slow_bishop,0.625,0.542,7,3
lifecycle_slow_knight,0.812,0.688,1,3
lifecycle_slow_moore,0.766,0.615,1,3
lifecycle_slow_queen,0.953,0.906,1,1
lifecycle_slow_rook,0.375,0.500,1,0
los_rule1_bishop,0.125,0.833,8,0
los_rule1_queen,0.078,0.844,4,0
los_rule1_rook,0.047,0.906,1,0
los_rule2_bishop,0.234,0.615,15,2
los_rule2_queen,0.125,0.792,3,0
los_rule2_rook,0.000,1.000,0,0
los_rule3_bishop,0.109,0.781,7,0
los_rule3_queen,0.188,0.688,6,1
los_rule3_rook,0.250,0.667,2,0
rule1_bishop,0.000,1.000,0,0
rule1_knight,0.312,1.000,1,1
rule1_moore,0.085,1.000,10,0
rule1_queen,1.000,1.000,1,0
rule1_rook,0.875,0.833,2,0
rule2_bishop,0.172,0.740,11,0
rule2_knight,0.312,1.000,1,1
rule2_moore,0.325,1.000,14,0
rule2_queen,1.000,1.000,1,0
rule2_rook,1.000,1.000,1,0
rule3_bishop,0.250,0.646,16,0
rule3_knight,0.625,1.000,9,1
rule3_moore,0.496,1.000,10,4
rule3_queen,0.078,0.865,5,0
rule3_rook,0.062,0.917,1,0
rule4_bishop,0.500,0.333,32,18
rule4_knight,0.750,1.000,1,5
rule4_moore,0.769,1.000,1,5
rule4_queen,0.188,0.688,12,0
rule4_rook,0.328,0.885,2,0
rule5_bishop,0.188,0.750,12,2
rule5_knight,0.625,1.000,5,1
rule5_moore,0.650,1.000,5,11
rule5_queen,0.219,0.646,7,0
rule5_rook,0.266,0.802,4,0
