sep=;
time;model_id;model_name;port_name;data
0;1;(6,7);;<0>
0;2;(3,7);;<0>
0;3;(2,7);;<0>
0;4;(4,0);;<0>
0;5;(3,0);;<0>
0;6;(7,6);;<1>
0;7;(1,0);;<0>
0;8;(6,2);;<0>
0;9;(5,0);;<0>
0;10;(3,3);;<1>
0;11;(2,1);;<0>
0;12;(4,7);;<0>
0;13;(0,5);;<1>
0;14;(3,4);;<1>
0;15;(4,4);;<1>
0;16;(4,5);;<0>
0;17;(6,6);;<0>
0;18;(6,1);;<0>
0;19;(0,6);;<0>
0;20;(7,7);;<0>
0;21;(1,3);;<0>
0;22;(1,5);;<0>
0;23;(6,5);;<0>
0;24;(5,6);;<0>
0;25;(7,0);;<1>
0;26;(7,5);;<0>
0;27;(7,3);;<0>
0;28;(1,1);;<0>
0;29;(4,3);;<1>
0;30;(0,4);;<0>
0;31;(7,1);;<0>
0;32;(1,7);;<0>
0;33;(5,7);;<0>
0;34;(0,1);;<1>
0;35;(1,4);;<0>
0;36;(6,0);;<0>
0;37;(0,2);;<0>
0;38;(4,1);;<0>
0;39;(3,1);;<0>
0;40;(2,4);;<0>
0;41;(6,4);;<0>
0;42;(1,6);;<0>
0;43;(0,0);;<0>
0;44;(1,2);;<0>
0;45;(4,6);;<0>
0;46;(2,2);;<0>
0;47;(3,5);;<0>
0;48;(3,2);;<0>
0;49;(4,2);;<0>
0;50;(0,3);;<0>
0;51;(5,2);;<0>
0;52;(3,6);;<0>
0;53;(2,0);;<0>
0;54;(7,2);;<0>
0;55;(2,6);;<0>
0;56;(2,3);;<0>
0;57;(5,3);;<0>
0;58;(6,3);;<0>
0;59;(7,4);;<0>
0;60;(5,4);;<0>
0;61;(5,1);;<0>
0;62;(2,5);;<0>
0;63;(5,5);;<0>
0;64;(0,7);;<0>
0;1;(6,7);outputNeighborhood;<0>
0;1;(6,7);;<0>
0;2;(3,7);outputNeighborhood;<0>
0;2;(3,7);;<0>
0;3;(2,7);outputNeighborhood;<0>
0;3;(2,7);;<0>
0;4;(4,0);outputNeighborhood;<0>
0;4;(4,0);;<0>
0;5;(3,0);outputNeighborhood;<0>
0;5;(3,0);;<0>
0;6;(7,6);outputNeighborhood;<1>
0;6;(7,6);;<0>
0;7;(1,0);outputNeighborhood;<0>
0;7;(1,0);;<0>
0;8;(6,2);outputNeighborhood;<0>
0;8;(6,2);;<0>
0;9;(5,0);outputNeighborhood;<0>
0;9;(5,0);;<0>
0;10;(3,3);outputNeighborhood;<1>
0;10;(3,3);;<0>
0;11;(2,1);outputNeighborhood;<0>
0;11;(2,1);;<0>
0;12;(4,7);outputNeighborhood;<0>
0;12;(4,7);;<0>
0;13;(0,5);outputNeighborhood;<1>
0;13;(0,5);;<0>
0;14;(3,4);outputNeighborhood;<1>
0;14;(3,4);;<0>
0;15;(4,4);outputNeighborhood;<1>
0;15;(4,4);;<0>
0;16;(4,5);outputNeighborhood;<0>
0;16;(4,5);;<0>
0;17;(6,6);outputNeighborhood;<0>
0;17;(6,6);;<1>
0;18;(6,1);outputNeighborhood;<0>
0;18;(6,1);;<0>
0;19;(0,6);outputNeighborhood;<0>
0;19;(0,6);;<0>
0;20;(7,7);outputNeighborhood;<0>
0;20;(7,7);;<1>
0;21;(1,3);outputNeighborhood;<0>
0;21;(1,3);;<0>
0;22;(1,5);outputNeighborhood;<0>
0;22;(1,5);;<0>
0;23;(6,5);outputNeighborhood;<0>
0;23;(6,5);;<0>
0;24;(5,6);outputNeighborhood;<0>
0;24;(5,6);;<0>
0;25;(7,0);outputNeighborhood;<1>
0;25;(7,0);;<1>
0;26;(7,5);outputNeighborhood;<0>
0;26;(7,5);;<0>
0;27;(7,3);outputNeighborhood;<0>
0;27;(7,3);;<0>
0;28;(1,1);outputNeighborhood;<0>
0;28;(1,1);;<1>
0;29;(4,3);outputNeighborhood;<1>
0;29;(4,3);;<0>
0;30;(0,4);outputNeighborhood;<0>
0;30;(0,4);;<0>
0;31;(7,1);outputNeighborhood;<0>
0;31;(7,1);;<0>
0;32;(1,7);outputNeighborhood;<0>
0;32;(1,7);;<0>
0;33;(5,7);outputNeighborhood;<0>
0;33;(5,7);;<0>
0;34;(0,1);outputNeighborhood;<1>
0;34;(0,1);;<0>
0;35;(1,4);outputNeighborhood;<0>
0;35;(1,4);;<0>
0;36;(6,0);outputNeighborhood;<0>
0;36;(6,0);;<0>
0;37;(0,2);outputNeighborhood;<0>
0;37;(0,2);;<0>
0;38;(4,1);outputNeighborhood;<0>
0;38;(4,1);;<0>
0;39;(3,1);outputNeighborhood;<0>
0;39;(3,1);;<0>
0;40;(2,4);outputNeighborhood;<0>
0;40;(2,4);;<1>
0;41;(6,4);outputNeighborhood;<0>
0;41;(6,4);;<0>
0;42;(1,6);outputNeighborhood;<0>
0;42;(1,6);;<0>
0;43;(0,0);outputNeighborhood;<0>
0;43;(0,0);;<1>
0;44;(1,2);outputNeighborhood;<0>
0;44;(1,2);;<0>
0;45;(4,6);outputNeighborhood;<0>
0;45;(4,6);;<0>
0;46;(2,2);outputNeighborhood;<0>
0;46;(2,2);;<1>
0;47;(3,5);outputNeighborhood;<0>
0;47;(3,5);;<0>
0;48;(3,2);outputNeighborhood;<0>
0;48;(3,2);;<0>
0;49;(4,2);outputNeighborhood;<0>
0;49;(4,2);;<0>
0;50;(0,3);outputNeighborhood;<0>
0;50;(0,3);;<0>
0;51;(5,2);outputNeighborhood;<0>
0;51;(5,2);;<1>
0;52;(3,6);outputNeighborhood;<0>
0;52;(3,6);;<0>
0;53;(2,0);outputNeighborhood;<0>
0;53;(2,0);;<0>
0;54;(7,2);outputNeighborhood;<0>
0;54;(7,2);;<0>
0;55;(2,6);outputNeighborhood;<0>
0;55;(2,6);;<1>
0;56;(2,3);outputNeighborhood;<0>
0;56;(2,3);;<0>
0;57;(5,3);outputNeighborhood;<0>
0;57;(5,3);;<0>
0;58;(6,3);outputNeighborhood;<0>
0;58;(6,3);;<0>
0;59;(7,4);outputNeighborhood;<0>
0;59;(7,4);;<0>
0;60;(5,4);outputNeighborhood;<0>
0;60;(5,4);;<0>
0;61;(5,1);outputNeighborhood;<0>
0;61;(5,1);;<1>
0;62;(2,5);outputNeighborhood;<0>
0;62;(2,5);;<1>
0;63;(5,5);outputNeighborhood;<0>
0;63;(5,5);;<1>
0;64;(0,7);outputNeighborhood;<0>
0;64;(0,7);;<0>
1;1;(6,7);;<0>
1;2;(3,7);;<0>
1;4;(4,0);;<0>
1;5;(3,0);;<1>
1;6;(7,6);outputNeighborhood;<0>
1;6;(7,6);;<0>
1;7;(1,0);;<0>
1;8;(6,2);;<1>
1;10;(3,3);outputNeighborhood;<0>
1;10;(3,3);;<1>
1;11;(2,1);;<0>
1;12;(4,7);;<1>
1;13;(0,5);outputNeighborhood;<0>
1;13;(0,5);;<0>
1;14;(3,4);outputNeighborhood;<0>
1;14;(3,4);;<1>
1;15;(4,4);outputNeighborhood;<0>
1;15;(4,4);;<1>
1;16;(4,5);;<1>
1;17;(6,6);outputNeighborhood;<1>
1;17;(6,6);;<0>
1;19;(0,6);;<1>
1;20;(7,7);outputNeighborhood;<1>
1;20;(7,7);;<0>
1;21;(1,3);;<1>
1;22;(1,5);;<1>
1;23;(6,5);;<0>
1;24;(5,6);;<0>
1;25;(7,0);;<1>
1;26;(7,5);;<0>
1;27;(7,3);;<1>
1;28;(1,1);outputNeighborhood;<1>
1;28;(1,1);;<0>
1;29;(4,3);outputNeighborhood;<0>
1;29;(4,3);;<0>
1;30;(0,4);;<1>
1;31;(7,1);;<0>
1;32;(1,7);;<0>
1;33;(5,7);;<0>
1;34;(0,1);outputNeighborhood;<0>
1;34;(0,1);;<0>
1;35;(1,4);;<1>
1;36;(6,0);;<1>
1;37;(0,2);;<1>
1;38;(4,1);;<0>
1;39;(3,1);;<0>
1;40;(2,4);outputNeighborhood;<1>
1;40;(2,4);;<0>
1;41;(6,4);;<0>
1;42;(1,6);;<0>
1;43;(0,0);outputNeighborhood;<1>
1;43;(0,0);;<0>
1;44;(1,2);;<1>
1;45;(4,6);;<0>
1;46;(2,2);outputNeighborhood;<1>
1;46;(2,2);;<0>
1;47;(3,5);;<0>
1;48;(3,2);;<1>
1;49;(4,2);;<0>
1;50;(0,3);;<1>
1;51;(5,2);outputNeighborhood;<1>
1;51;(5,2);;<0>
1;52;(3,6);;<1>
1;53;(2,0);;<0>
1;54;(7,2);;<0>
1;55;(2,6);outputNeighborhood;<1>
1;55;(2,6);;<0>
1;56;(2,3);;<0>
1;57;(5,3);;<0>
1;58;(6,3);;<1>
1;59;(7,4);;<1>
1;60;(5,4);;<0>
1;61;(5,1);outputNeighborhood;<1>
1;61;(5,1);;<0>
1;62;(2,5);outputNeighborhood;<1>
1;62;(2,5);;<0>
1;63;(5,5);outputNeighborhood;<1>
1;63;(5,5);;<0>
1;64;(0,7);;<0>
2;1;(6,7);;<0>
2;2;(3,7);;<0>
2;3;(2,7);;<1>
2;4;(4,0);;<0>
2;5;(3,0);outputNeighborhood;<1>
2;5;(3,0);;<0>
2;6;(7,6);;<0>
2;7;(1,0);;<0>
2;8;(6,2);outputNeighborhood;<1>
2;8;(6,2);;<1>
2;9;(5,0);;<0>
2;10;(3,3);outputNeighborhood;<1>
2;10;(3,3);;<1>
2;11;(2,1);;<1>
2;12;(4,7);outputNeighborhood;<1>
2;12;(4,7);;<0>
2;13;(0,5);;<1>
2;14;(3,4);outputNeighborhood;<1>
2;14;(3,4);;<1>
2;15;(4,4);outputNeighborhood;<1>
2;15;(4,4);;<1>
2;16;(4,5);outputNeighborhood;<1>
2;16;(4,5);;<0>
2;17;(6,6);outputNeighborhood;<0>
2;17;(6,6);;<1>
2;18;(6,1);;<0>
2;19;(0,6);outputNeighborhood;<1>
2;19;(0,6);;<1>
2;20;(7,7);outputNeighborhood;<0>
2;20;(7,7);;<1>
2;21;(1,3);outputNeighborhood;<1>
2;21;(1,3);;<1>
2;22;(1,5);outputNeighborhood;<1>
2;22;(1,5);;<0>
2;23;(6,5);;<1>
2;24;(5,6);;<0>
2;25;(7,0);;<0>
2;26;(7,5);;<0>
2;27;(7,3);outputNeighborhood;<1>
2;27;(7,3);;<0>
2;28;(1,1);outputNeighborhood;<0>
2;28;(1,1);;<1>
2;29;(4,3);;<0>
2;30;(0,4);outputNeighborhood;<1>
2;30;(0,4);;<1>
2;31;(7,1);;<1>
2;32;(1,7);;<1>
2;33;(5,7);;<1>
2;34;(0,1);;<1>
2;35;(1,4);outputNeighborhood;<1>
2;35;(1,4);;<1>
2;36;(6,0);outputNeighborhood;<1>
2;36;(6,0);;<1>
2;37;(0,2);outputNeighborhood;<1>
2;37;(0,2);;<0>
2;38;(4,1);;<1>
2;39;(3,1);;<0>
2;40;(2,4);outputNeighborhood;<0>
2;40;(2,4);;<0>
2;41;(6,4);;<0>
2;42;(1,6);;<0>
2;43;(0,0);outputNeighborhood;<0>
2;43;(0,0);;<1>
2;44;(1,2);outputNeighborhood;<1>
2;44;(1,2);;<1>
2;45;(4,6);;<0>
2;46;(2,2);outputNeighborhood;<0>
2;46;(2,2);;<0>
2;47;(3,5);;<1>
2;48;(3,2);outputNeighborhood;<1>
2;48;(3,2);;<1>
2;49;(4,2);;<1>
2;50;(0,3);outputNeighborhood;<1>
2;50;(0,3);;<0>
2;51;(5,2);outputNeighborhood;<0>
2;51;(5,2);;<0>
2;52;(3,6);outputNeighborhood;<1>
2;52;(3,6);;<1>
2;53;(2,0);;<1>
2;54;(7,2);;<0>
2;55;(2,6);outputNeighborhood;<0>
2;55;(2,6);;<0>
2;56;(2,3);;<0>
2;57;(5,3);;<0>
2;58;(6,3);outputNeighborhood;<1>
2;58;(6,3);;<0>
2;59;(7,4);outputNeighborhood;<1>
2;59;(7,4);;<0>
2;60;(5,4);;<1>
2;61;(5,1);outputNeighborhood;<0>
2;61;(5,1);;<0>
2;62;(2,5);outputNeighborhood;<0>
2;62;(2,5);;<0>
2;63;(5,5);outputNeighborhood;<0>
2;63;(5,5);;<0>
2;64;(0,7);;<0>
