sep=;
time;model_id;model_name;port_name;data
0;1;(7,7);;<0>
0;2;(5,7);;<0>
0;3;(4,7);;<0>
0;4;(3,7);;<0>
0;5;(1,7);;<0>
0;6;(6,6);;<0>
0;7;(5,6);;<0>
0;8;(4,6);;<0>
0;9;(0,6);;<0>
0;10;(7,5);;<0>
0;11;(2,5);;<0>
0;12;(1,5);;<0>
0;13;(7,1);;<0>
0;14;(7,3);;<0>
0;15;(2,2);;<0>
0;16;(6,5);;<0>
0;17;(0,5);;<0>
0;18;(2,3);;<0>
0;19;(1,3);;<0>
0;20;(7,6);;<0>
0;21;(6,2);;<0>
0;22;(6,4);;<0>
0;23;(7,4);;<0>
0;24;(1,6);;<0>
0;25;(5,2);;<0>
0;26;(4,2);;<0>
0;27;(5,5);;<0>
0;28;(3,0);;<0>
0;29;(0,4);;<0>
0;30;(3,6);;<0>
0;31;(3,5);;<1>
0;32;(1,0);;<0>
0;33;(1,2);;<0>
0;34;(1,4);;<0>
0;35;(0,2);;<0>
0;36;(6,7);;<0>
0;37;(3,4);;<1>
0;38;(6,1);;<0>
0;39;(5,1);;<0>
0;40;(1,1);;<0>
0;41;(2,6);;<0>
0;42;(2,1);;<0>
0;43;(3,1);;<0>
0;44;(5,0);;<0>
0;45;(0,1);;<0>
0;46;(5,4);;<0>
0;47;(4,0);;<0>
0;48;(0,7);;<0>
0;49;(6,3);;<0>
0;50;(4,1);;<0>
0;51;(4,5);;<0>
0;52;(2,7);;<0>
0;53;(5,3);;<1>
0;54;(4,4);;<1>
0;55;(2,4);;<0>
0;56;(0,0);;<0>
0;57;(0,3);;<0>
0;58;(7,2);;<0>
0;59;(3,2);;<1>
0;60;(4,3);;<1>
0;61;(7,0);;<0>
0;62;(3,3);;<1>
0;63;(6,0);;<0>
0;64;(2,0);;<0>
0;1;(7,7);outputNeighborhood;<0>
0;1;(7,7);;<0>
0;2;(5,7);outputNeighborhood;<0>
0;2;(5,7);;<0>
0;3;(4,7);outputNeighborhood;<0>
0;3;(4,7);;<0>
0;4;(3,7);outputNeighborhood;<0>
0;4;(3,7);;<1>
0;5;(1,7);outputNeighborhood;<0>
0;5;(1,7);;<0>
0;6;(6,6);outputNeighborhood;<0>
0;6;(6,6);;<0>
0;7;(5,6);outputNeighborhood;<0>
0;7;(5,6);;<0>
0;8;(4,6);outputNeighborhood;<0>
0;8;(4,6);;<0>
0;9;(0,6);outputNeighborhood;<0>
0;9;(0,6);;<0>
0;10;(7,5);outputNeighborhood;<0>
0;10;(7,5);;<0>
0;11;(2,5);outputNeighborhood;<0>
0;11;(2,5);;<0>
0;12;(1,5);outputNeighborhood;<0>
0;12;(1,5);;<0>
0;13;(7,1);outputNeighborhood;<0>
0;13;(7,1);;<0>
0;14;(7,3);outputNeighborhood;<0>
0;14;(7,3);;<1>
0;15;(2,2);outputNeighborhood;<0>
0;15;(2,2);;<0>
0;16;(6,5);outputNeighborhood;<0>
0;16;(6,5);;<0>
0;17;(0,5);outputNeighborhood;<0>
0;17;(0,5);;<0>
0;18;(2,3);outputNeighborhood;<0>
0;18;(2,3);;<1>
0;19;(1,3);outputNeighborhood;<0>
0;19;(1,3);;<1>
0;20;(7,6);outputNeighborhood;<0>
0;20;(7,6);;<0>
0;21;(6,2);outputNeighborhood;<0>
0;21;(6,2);;<0>
0;22;(6,4);outputNeighborhood;<0>
0;22;(6,4);;<0>
0;23;(7,4);outputNeighborhood;<0>
0;23;(7,4);;<0>
0;24;(1,6);outputNeighborhood;<0>
0;24;(1,6);;<0>
0;25;(5,2);outputNeighborhood;<0>
0;25;(5,2);;<0>
0;26;(4,2);outputNeighborhood;<0>
0;26;(4,2);;<1>
0;27;(5,5);outputNeighborhood;<0>
0;27;(5,5);;<0>
0;28;(3,0);outputNeighborhood;<0>
0;28;(3,0);;<1>
0;29;(0,4);outputNeighborhood;<0>
0;29;(0,4);;<0>
0;30;(3,6);outputNeighborhood;<0>
0;30;(3,6);;<1>
0;31;(3,5);outputNeighborhood;<1>
0;31;(3,5);;<1>
0;32;(1,0);outputNeighborhood;<0>
0;32;(1,0);;<0>
0;33;(1,2);outputNeighborhood;<0>
0;33;(1,2);;<0>
0;34;(1,4);outputNeighborhood;<0>
0;34;(1,4);;<0>
0;35;(0,2);outputNeighborhood;<0>
0;35;(0,2);;<0>
0;36;(6,7);outputNeighborhood;<0>
0;36;(6,7);;<0>
0;37;(3,4);outputNeighborhood;<1>
0;37;(3,4);;<1>
0;38;(6,1);outputNeighborhood;<0>
0;38;(6,1);;<0>
0;39;(5,1);outputNeighborhood;<0>
0;39;(5,1);;<0>
0;40;(1,1);outputNeighborhood;<0>
0;40;(1,1);;<0>
0;41;(2,6);outputNeighborhood;<0>
0;41;(2,6);;<0>
0;42;(2,1);outputNeighborhood;<0>
0;42;(2,1);;<0>
0;43;(3,1);outputNeighborhood;<0>
0;43;(3,1);;<1>
0;44;(5,0);outputNeighborhood;<0>
0;44;(5,0);;<0>
0;45;(0,1);outputNeighborhood;<0>
0;45;(0,1);;<0>
0;46;(5,4);outputNeighborhood;<0>
0;46;(5,4);;<1>
0;47;(4,0);outputNeighborhood;<0>
0;47;(4,0);;<0>
0;48;(0,7);outputNeighborhood;<0>
0;48;(0,7);;<0>
0;49;(6,3);outputNeighborhood;<0>
0;49;(6,3);;<1>
0;50;(4,1);outputNeighborhood;<0>
0;50;(4,1);;<0>
0;51;(4,5);outputNeighborhood;<0>
0;51;(4,5);;<1>
0;52;(2,7);outputNeighborhood;<0>
0;52;(2,7);;<0>
0;53;(5,3);outputNeighborhood;<1>
0;53;(5,3);;<0>
0;54;(4,4);outputNeighborhood;<1>
0;54;(4,4);;<0>
0;55;(2,4);outputNeighborhood;<0>
0;55;(2,4);;<0>
0;56;(0,0);outputNeighborhood;<0>
0;56;(0,0);;<0>
0;57;(0,3);outputNeighborhood;<0>
0;57;(0,3);;<1>
0;58;(7,2);outputNeighborhood;<0>
0;58;(7,2);;<0>
0;59;(3,2);outputNeighborhood;<1>
0;59;(3,2);;<1>
0;60;(4,3);outputNeighborhood;<1>
0;60;(4,3);;<1>
0;61;(7,0);outputNeighborhood;<0>
0;61;(7,0);;<0>
0;62;(3,3);outputNeighborhood;<1>
0;62;(3,3);;<1>
0;63;(6,0);outputNeighborhood;<0>
0;63;(6,0);;<0>
0;64;(2,0);outputNeighborhood;<0>
0;64;(2,0);;<0>
1;1;(7,7);;<0>
1;2;(5,7);;<0>
1;3;(4,7);;<1>
1;4;(3,7);outputNeighborhood;<1>
1;4;(3,7);;<1>
1;5;(1,7);;<0>
1;6;(6,6);;<0>
1;7;(5,6);;<0>
1;8;(4,6);;<1>
1;9;(0,6);;<0>
1;10;(7,5);;<1>
1;11;(2,5);;<1>
1;12;(1,5);;<1>
1;13;(7,1);;<0>
1;14;(7,3);outputNeighborhood;<1>
1;14;(7,3);;<1>
1;15;(2,2);;<1>
1;16;(6,5);;<1>
1;17;(0,5);;<1>
1;18;(2,3);outputNeighborhood;<1>
1;18;(2,3);;<1>
1;19;(1,3);outputNeighborhood;<1>
1;19;(1,3);;<1>
1;20;(7,6);;<0>
1;21;(6,2);;<1>
1;22;(6,4);;<1>
1;23;(7,4);;<1>
1;24;(1,6);;<0>
1;25;(5,2);;<1>
1;26;(4,2);outputNeighborhood;<1>
1;26;(4,2);;<1>
1;27;(5,5);;<1>
1;28;(3,0);outputNeighborhood;<1>
1;28;(3,0);;<1>
1;29;(0,4);;<1>
1;30;(3,6);outputNeighborhood;<1>
1;30;(3,6);;<1>
1;31;(3,5);;<1>
1;32;(1,0);;<0>
1;33;(1,2);;<1>
1;34;(1,4);;<1>
1;35;(0,2);;<1>
1;36;(6,7);;<0>
1;37;(3,4);;<1>
1;38;(6,1);;<0>
1;39;(5,1);;<0>
1;40;(1,1);;<0>
1;41;(2,6);;<0>
1;42;(2,1);;<0>
1;43;(3,1);outputNeighborhood;<1>
1;43;(3,1);;<1>
1;44;(5,0);;<0>
1;45;(0,1);;<0>
1;46;(5,4);outputNeighborhood;<1>
1;46;(5,4);;<0>
1;47;(4,0);;<1>
1;48;(0,7);;<0>
1;49;(6,3);outputNeighborhood;<1>
1;49;(6,3);;<1>
1;50;(4,1);;<1>
1;51;(4,5);outputNeighborhood;<1>
1;51;(4,5);;<1>
1;52;(2,7);;<0>
1;53;(5,3);outputNeighborhood;<0>
1;53;(5,3);;<1>
1;54;(4,4);outputNeighborhood;<0>
1;54;(4,4);;<1>
1;55;(2,4);;<1>
1;56;(0,0);;<0>
1;57;(0,3);outputNeighborhood;<1>
1;57;(0,3);;<1>
1;58;(7,2);;<1>
1;59;(3,2);;<1>
1;60;(4,3);;<1>
1;61;(7,0);;<0>
1;62;(3,3);;<0>
1;63;(6,0);;<0>
1;64;(2,0);;<0>
2;1;(7,7);;<1>
2;2;(5,7);;<1>
2;3;(4,7);outputNeighborhood;<1>
2;3;(4,7);;<1>
2;4;(3,7);;<1>
2;5;(1,7);;<1>
2;6;(6,6);;<1>
2;7;(5,6);;<1>
2;8;(4,6);outputNeighborhood;<1>
2;8;(4,6);;<1>
2;9;(0,6);;<1>
2;10;(7,5);outputNeighborhood;<1>
2;10;(7,5);;<0>
2;11;(2,5);outputNeighborhood;<1>
2;11;(2,5);;<0>
2;12;(1,5);outputNeighborhood;<1>
2;12;(1,5);;<0>
2;13;(7,1);;<1>
2;14;(7,3);;<1>
2;15;(2,2);outputNeighborhood;<1>
2;15;(2,2);;<0>
2;16;(6,5);outputNeighborhood;<1>
2;16;(6,5);;<0>
2;17;(0,5);outputNeighborhood;<1>
2;17;(0,5);;<0>
2;18;(2,3);;<1>
2;19;(1,3);;<1>
2;20;(7,6);;<1>
2;21;(6,2);outputNeighborhood;<1>
2;21;(6,2);;<0>
2;22;(6,4);outputNeighborhood;<1>
2;22;(6,4);;<1>
2;23;(7,4);outputNeighborhood;<1>
2;23;(7,4);;<1>
2;24;(1,6);;<1>
2;25;(5,2);outputNeighborhood;<1>
2;25;(5,2);;<1>
2;26;(4,2);;<0>
2;27;(5,5);outputNeighborhood;<1>
2;27;(5,5);;<1>
2;28;(3,0);;<1>
2;29;(0,4);outputNeighborhood;<1>
2;29;(0,4);;<1>
2;30;(3,6);;<1>
2;31;(3,5);;<0>
2;32;(1,0);;<1>
2;33;(1,2);outputNeighborhood;<1>
2;33;(1,2);;<0>
2;34;(1,4);outputNeighborhood;<1>
2;34;(1,4);;<1>
2;35;(0,2);outputNeighborhood;<1>
2;35;(0,2);;<0>
2;36;(6,7);;<1>
2;37;(3,4);;<0>
2;38;(6,1);;<1>
2;39;(5,1);;<1>
2;40;(1,1);;<1>
2;41;(2,6);;<1>
2;42;(2,1);;<1>
2;43;(3,1);;<1>
2;44;(5,0);;<1>
2;45;(0,1);;<1>
2;46;(5,4);outputNeighborhood;<0>
2;46;(5,4);;<0>
2;47;(4,0);outputNeighborhood;<1>
2;47;(4,0);;<1>
2;48;(0,7);;<1>
2;49;(6,3);;<1>
2;50;(4,1);outputNeighborhood;<1>
2;50;(4,1);;<1>
2;51;(4,5);;<0>
2;52;(2,7);;<1>
2;53;(5,3);outputNeighborhood;<1>
2;53;(5,3);;<1>
2;54;(4,4);outputNeighborhood;<1>
2;54;(4,4);;<0>
2;55;(2,4);outputNeighborhood;<1>
2;55;(2,4);;<1>
