sep=;
time;model_id;model_name;port_name;data
0;1;(6,7);;<0>
0;2;(3,7);;<0>
0;3;(2,6);;<0>
0;4;(5,2);;<0>
0;5;(7,1);;<0>
0;6;(2,1);;<0>
0;7;(3,3);;<0>
0;8;(2,2);;<0>
0;9;(4,6);;<0>
0;10;(7,3);;<0>
0;11;(1,1);;<0>
0;12;(7,5);;<0>
0;13;(4,2);;<0>
0;14;(0,3);;<0>
0;15;(6,1);;<1>
0;16;(7,7);;<0>
0;17;(0,6);;<0>
0;18;(2,3);;<1>
0;19;(7,0);;<0>
0;20;(4,5);;<1>
0;21;(4,4);;<0>
0;22;(4,0);;<0>
0;23;(0,2);;<0>
0;24;(4,1);;<0>
0;25;(3,1);;<0>
0;26;(2,4);;<0>
0;27;(5,0);;<0>
0;28;(3,0);;<0>
0;29;(1,2);;<0>
0;30;(0,0);;<0>
0;31;(5,4);;<1>
0;32;(7,4);;<0>
0;33;(6,2);;<0>
0;34;(3,2);;<1>
0;35;(3,5);;<0>
0;36;(7,2);;<0>
0;37;(3,6);;<1>
0;38;(2,0);;<0>
0;39;(5,7);;<0>
0;40;(0,1);;<0>
0;41;(1,4);;<0>
0;42;(6,0);;<0>
0;43;(1,3);;<0>
0;44;(5,6);;<0>
0;45;(5,3);;<0>
0;46;(6,3);;<0>
0;47;(4,3);;<0>
0;48;(0,4);;<0>
0;49;(2,7);;<0>
0;50;(1,6);;<0>
0;51;(6,4);;<0>
0;52;(4,7);;<0>
0;53;(3,4);;<0>
0;54;(0,5);;<0>
0;55;(1,0);;<0>
0;56;(7,6);;<0>
0;57;(6,5);;<0>
0;58;(1,5);;<0>
0;59;(5,1);;<0>
0;60;(2,5);;<0>
0;61;(5,5);;<0>
0;62;(6,6);;<0>
0;63;(0,7);;<0>
0;64;(1,7);;<0>
0;1;(6,7);outputNeighborhood;<0>
0;1;(6,7);;<1>
0;2;(3,7);outputNeighborhood;<0>
0;2;(3,7);;<0>
0;3;(2,6);outputNeighborhood;<0>
0;3;(2,6);;<0>
0;4;(5,2);outputNeighborhood;<0>
0;4;(5,2);;<0>
0;5;(7,1);outputNeighborhood;<0>
0;5;(7,1);;<0>
0;6;(2,1);outputNeighborhood;<0>
0;6;(2,1);;<1>
0;7;(3,3);outputNeighborhood;<0>
0;7;(3,3);;<0>
0;8;(2,2);outputNeighborhood;<0>
0;8;(2,2);;<0>
0;9;(4,6);outputNeighborhood;<0>
0;9;(4,6);;<0>
0;10;(7,3);outputNeighborhood;<0>
0;10;(7,3);;<0>
0;11;(1,1);outputNeighborhood;<0>
0;11;(1,1);;<0>
0;12;(7,5);outputNeighborhood;<0>
0;12;(7,5);;<0>
0;13;(4,2);outputNeighborhood;<0>
0;13;(4,2);;<0>
0;14;(0,3);outputNeighborhood;<0>
0;14;(0,3);;<1>
0;15;(6,1);outputNeighborhood;<1>
0;15;(6,1);;<0>
0;16;(7,7);outputNeighborhood;<0>
0;16;(7,7);;<0>
0;17;(0,6);outputNeighborhood;<0>
0;17;(0,6);;<0>
0;18;(2,3);outputNeighborhood;<1>
0;18;(2,3);;<1>
0;19;(7,0);outputNeighborhood;<0>
0;19;(7,0);;<1>
0;20;(4,5);outputNeighborhood;<1>
0;20;(4,5);;<1>
0;21;(4,4);outputNeighborhood;<0>
0;21;(4,4);;<0>
0;22;(4,0);outputNeighborhood;<0>
0;22;(4,0);;<0>
0;23;(0,2);outputNeighborhood;<0>
0;23;(0,2);;<0>
0;24;(4,1);outputNeighborhood;<0>
0;24;(4,1);;<1>
0;25;(3,1);outputNeighborhood;<0>
0;25;(3,1);;<0>
0;26;(2,4);outputNeighborhood;<0>
0;26;(2,4);;<0>
0;27;(5,0);outputNeighborhood;<0>
0;27;(5,0);;<0>
0;28;(3,0);outputNeighborhood;<0>
0;28;(3,0);;<0>
0;29;(1,2);outputNeighborhood;<0>
0;29;(1,2);;<1>
0;30;(0,0);outputNeighborhood;<0>
0;30;(0,0);;<0>
0;31;(5,4);outputNeighborhood;<1>
0;31;(5,4);;<1>
0;32;(7,4);outputNeighborhood;<0>
0;32;(7,4);;<0>
0;33;(6,2);outputNeighborhood;<0>
0;33;(6,2);;<0>
0;34;(3,2);outputNeighborhood;<1>
0;34;(3,2);;<1>
0;35;(3,5);outputNeighborhood;<0>
0;35;(3,5);;<0>
0;36;(7,2);outputNeighborhood;<0>
0;36;(7,2);;<0>
0;37;(3,6);outputNeighborhood;<1>
0;37;(3,6);;<1>
0;38;(2,0);outputNeighborhood;<0>
0;38;(2,0);;<0>
0;39;(5,7);outputNeighborhood;<0>
0;39;(5,7);;<0>
0;40;(0,1);outputNeighborhood;<0>
0;40;(0,1);;<1>
0;41;(1,4);outputNeighborhood;<0>
0;41;(1,4);;<1>
0;42;(6,0);outputNeighborhood;<0>
0;42;(6,0);;<0>
0;43;(1,3);outputNeighborhood;<0>
0;43;(1,3);;<0>
0;44;(5,6);outputNeighborhood;<0>
0;44;(5,6);;<1>
0;45;(5,3);outputNeighborhood;<0>
0;45;(5,3);;<0>
0;46;(6,3);outputNeighborhood;<0>
0;46;(6,3);;<1>
0;47;(4,3);outputNeighborhood;<0>
0;47;(4,3);;<1>
0;48;(0,4);outputNeighborhood;<0>
0;48;(0,4);;<0>
0;49;(2,7);outputNeighborhood;<0>
0;49;(2,7);;<0>
0;50;(1,6);outputNeighborhood;<0>
0;50;(1,6);;<0>
0;51;(6,4);outputNeighborhood;<0>
0;51;(6,4);;<0>
0;52;(4,7);outputNeighborhood;<0>
0;52;(4,7);;<1>
0;53;(3,4);outputNeighborhood;<0>
0;53;(3,4);;<1>
0;54;(0,5);outputNeighborhood;<0>
0;54;(0,5);;<1>
0;55;(1,0);outputNeighborhood;<0>
0;55;(1,0);;<1>
0;56;(7,6);outputNeighborhood;<0>
0;56;(7,6);;<1>
0;57;(6,5);outputNeighborhood;<0>
0;57;(6,5);;<1>
0;58;(1,5);outputNeighborhood;<0>
0;58;(1,5);;<0>
0;59;(5,1);outputNeighborhood;<0>
0;59;(5,1);;<0>
0;60;(2,5);outputNeighborhood;<0>
0;60;(2,5);;<1>
0;61;(5,5);outputNeighborhood;<0>
0;61;(5,5);;<0>
0;62;(6,6);outputNeighborhood;<0>
0;62;(6,6);;<0>
0;63;(0,7);outputNeighborhood;<0>
0;63;(0,7);;<1>
0;64;(1,7);outputNeighborhood;<0>
0;64;(1,7);;<0>
1;1;(6,7);outputNeighborhood;<1>
1;1;(6,7);;<0>
1;4;(5,2);;<1>
1;6;(2,1);outputNeighborhood;<1>
1;6;(2,1);;<0>
1;14;(0,3);outputNeighborhood;<1>
1;14;(0,3);;<0>
1;15;(6,1);outputNeighborhood;<0>
1;15;(6,1);;<0>
1;18;(2,3);;<0>
1;19;(7,0);outputNeighborhood;<1>
1;19;(7,0);;<0>
1;20;(4,5);;<0>
1;24;(4,1);outputNeighborhood;<1>
1;24;(4,1);;<0>
1;27;(5,0);;<1>
1;28;(3,0);;<1>
1;29;(1,2);outputNeighborhood;<1>
1;29;(1,2);;<0>
1;31;(5,4);;<0>
1;32;(7,4);;<1>
1;34;(3,2);;<0>
1;36;(7,2);;<0>
1;37;(3,6);;<0>
1;40;(0,1);outputNeighborhood;<1>
1;40;(0,1);;<0>
1;41;(1,4);outputNeighborhood;<1>
1;41;(1,4);;<0>
1;44;(5,6);outputNeighborhood;<1>
1;44;(5,6);;<0>
1;46;(6,3);outputNeighborhood;<1>
1;46;(6,3);;<0>
1;47;(4,3);outputNeighborhood;<1>
1;47;(4,3);;<0>
1;49;(2,7);;<1>
1;50;(1,6);;<1>
1;52;(4,7);outputNeighborhood;<1>
1;52;(4,7);;<0>
1;53;(3,4);outputNeighborhood;<1>
1;53;(3,4);;<0>
1;54;(0,5);outputNeighborhood;<1>
1;54;(0,5);;<0>
1;55;(1,0);outputNeighborhood;<1>
1;55;(1,0);;<0>
1;56;(7,6);outputNeighborhood;<1>
1;56;(7,6);;<0>
1;57;(6,5);outputNeighborhood;<1>
1;57;(6,5);;<0>
1;60;(2,5);outputNeighborhood;<1>
1;60;(2,5);;<0>
1;63;(0,7);outputNeighborhood;<1>
1;63;(0,7);;<0>
2;1;(6,7);outputNeighborhood;<0>
2;1;(6,7);;<0>
2;4;(5,2);outputNeighborhood;<1>
2;4;(5,2);;<1>
2;6;(2,1);outputNeighborhood;<0>
2;6;(2,1);;<0>
2;14;(0,3);outputNeighborhood;<0>
2;14;(0,3);;<1>
2;15;(6,1);;<1>
2;18;(2,3);outputNeighborhood;<0>
2;18;(2,3);;<0>
2;19;(7,0);outputNeighborhood;<0>
2;19;(7,0);;<1>
2;20;(4,5);outputNeighborhood;<0>
2;20;(4,5);;<0>
2;24;(4,1);outputNeighborhood;<0>
2;24;(4,1);;<0>
2;27;(5,0);outputNeighborhood;<1>
2;27;(5,0);;<0>
2;28;(3,0);outputNeighborhood;<1>
2;28;(3,0);;<1>
2;29;(1,2);outputNeighborhood;<0>
2;29;(1,2);;<0>
2;31;(5,4);outputNeighborhood;<0>
2;31;(5,4);;<0>
2;32;(7,4);outputNeighborhood;<1>
2;32;(7,4);;<1>
2;34;(3,2);outputNeighborhood;<0>
2;34;(3,2);;<0>
2;36;(7,2);;<1>
2;37;(3,6);outputNeighborhood;<0>
2;37;(3,6);;<0>
2;40;(0,1);outputNeighborhood;<0>
2;40;(0,1);;<0>
2;41;(1,4);outputNeighborhood;<0>
2;41;(1,4);;<0>
2;44;(5,6);outputNeighborhood;<0>
2;44;(5,6);;<0>
2;46;(6,3);outputNeighborhood;<0>
2;46;(6,3);;<0>
2;47;(4,3);outputNeighborhood;<0>
2;47;(4,3);;<0>
2;49;(2,7);outputNeighborhood;<1>
2;49;(2,7);;<1>
2;50;(1,6);outputNeighborhood;<1>
2;50;(1,6);;<1>
2;52;(4,7);outputNeighborhood;<0>
2;52;(4,7);;<1>
2;53;(3,4);outputNeighborhood;<0>
2;53;(3,4);;<0>
2;54;(0,5);outputNeighborhood;<0>
2;54;(0,5);;<0>
2;55;(1,0);outputNeighborhood;<0>
2;55;(1,0);;<0>
2;56;(7,6);outputNeighborhood;<0>
2;56;(7,6);;<0>
2;57;(6,5);outputNeighborhood;<0>
2;57;(6,5);;<0>
2;60;(2,5);outputNeighborhood;<0>
2;60;(2,5);;<1>
2;63;(0,7);outputNeighborhood;<0>
2;63;(0,7);;<1>
3;4;(5,2);;<1>
3;6;(2,1);;<1>
3;14;(0,3);outputNeighborhood;<1>
3;14;(0,3);;<0>
3;15;(6,1);outputNeighborhood;<1>
3;15;(6,1);;<1>
3;18;(2,3);;<0>
3;19;(7,0);outputNeighborhood;<1>
3;19;(7,0);;<1>
3;20;(4,5);;<1>
3;24;(4,1);;<1>
3;27;(5,0);outputNeighborhood;<0>
3;27;(5,0);;<1>
3;28;(3,0);;<0>
3;29;(1,2);;<1>
3;31;(5,4);;<1>
3;32;(7,4);;<0>
3;34;(3,2);;<0>
3;36;(7,2);outputNeighborhood;<1>
3;36;(7,2);;<1>
3;37;(3,6);;<0>
3;41;(1,4);;<1>
3;44;(5,6);;<1>
3;46;(6,3);;<0>
3;47;(4,3);;<0>
3;49;(2,7);;<1>
3;50;(1,6);;<1>
3;52;(4,7);outputNeighborhood;<1>
3;52;(4,7);;<0>
3;53;(3,4);;<0>
3;54;(0,5);;<1>
3;57;(6,5);;<1>
3;60;(2,5);outputNeighborhood;<1>
3;60;(2,5);;<1>
3;63;(0,7);outputNeighborhood;<1>
3;63;(0,7);;<1>
4;1;(6,7);;<0>
4;4;(5,2);;<0>
4;6;(2,1);outputNeighborhood;<1>
4;6;(2,1);;<1>
4;14;(0,3);outputNeighborhood;<0>
4;14;(0,3);;<0>
4;15;(6,1);;<0>
4;18;(2,3);;<1>
4;20;(4,5);outputNeighborhood;<1>
4;20;(4,5);;<0>
4;24;(4,1);outputNeighborhood;<1>
4;24;(4,1);;<0>
4;27;(5,0);outputNeighborhood;<1>
4;27;(5,0);;<1>
4;28;(3,0);outputNeighborhood;<0>
4;28;(3,0);;<0>
4;29;(1,2);outputNeighborhood;<1>
